"","Department","Entity","Expense Category","Expense Area","Supplier Name","Transaction Reference","Date Paid","Amount"
"1","Department of Health","NHS East Lancashire","Indpendent Contractor - Gp Etc","Comm Healthcare - Non Nhs","About Health",220842,2011-01-27,42599
"2","Department of Health","NHS East Lancashire","Private Sector","Ph Community & Vol Sector Fund","Action For Asd",220614,2011-01-26,41103.24
"3","Department of Health","NHS East Lancashire","Charity","P H - Community & Voluntary","Age Concern Lancashire",218366,2011-01-12,41800.75
"4","Department of Health","NHS East Lancashire","Block Pbr","A & S  - Nhs","Airedale Nhs Trust",20702,2011-01-04,1056131
"5","Department of Health","NHS East Lancashire","Over/Under Pbr Perfor","A & S  - Nhs","Airedale Nhs Trust",20769,2011-01-05,52224
"6","Department of Health","NHS East Lancashire","Charity","P H - Community & Voluntary","Blackburn Brook Advisory Centre",217413,2011-01-05,48990
"7","Department of Health","NHS East Lancashire","Non Pat Rel Nhs Sla","Im&T Strategy","Blackburn With Darwen Pct",20585,2011-01-12,231284
"8","Department of Health","NHS East Lancashire","Comm Non Nhs Other Contractual","Contractor Led Pds","Blackburn With Darwen Pct",20761,2011-01-17,33867.2
"9","Department of Health","NHS East Lancashire","Block Non Pbr","Community Healthcare - Nhs","Blackburn With Darwen Pct",21016,2011-01-14,94424
"10","Department of Health","NHS East Lancashire","Block Pbr","A & S  - Nhs","Blackpool Fylde  Wyre Hospitals Nhs",20703,2011-01-04,35240
"11","Department of Health","NHS East Lancashire","Block Non Pbr","A & S  - Nhs","Blackpool Pct",21026,2011-01-14,878602
"12","Department of Health","NHS East Lancashire","Block Non Pbr","A & S  - Nhs","Blackpool Pct",21088,2011-01-14,71487
"13","Department of Health","NHS East Lancashire","Block Non Pbr","A & S  - Nhs","Blackpool Pct",21090,2011-01-14,84541
"14","Department of Health","NHS East Lancashire","Non Contracted Spot Purchase","Mental - Nhs","Bradford District Care Trust",18920,2011-01-12,35295
"15","Department of Health","NHS East Lancashire","Block Pbr","A & S  - Nhs","Bradford Hospitals Nhs Trust",21018,2011-01-14,112681
"16","Department of Health","NHS East Lancashire","Charity","P H - Community & Voluntary","Brook Advisory Centre",219690,2011-01-20,50553
"17","Department of Health","NHS East Lancashire","Charity","P H - Community & Voluntary","Brook Advisory Centre",219749,2011-01-20,50553
"18","Department of Health","NHS East Lancashire","Mobile Phone Expenditure","Telephones","Bt Payment Services Ltd",217816,2011-01-26,26956.94
"19","Department of Health","NHS East Lancashire","Local Authority","P H - Partnerships","Burnley Borough Council",218342,2011-01-12,61824
"20","Department of Health","NHS East Lancashire","Private Sector","A & S - Non Nhs","Calea Uk Ltd",219251,2011-01-18,63087.92
"21","Department of Health","NHS East Lancashire","Block Non Pbr","Community Healthcare - Nhs","Central Lancashire Pct(Prston Pct)",21019,2011-01-14,158268
"22","Department of Health","NHS East Lancashire","Block Pbr","A & S  - Nhs","Central Manchester And Man.Childrens Uni Hos",20704,2011-01-04,327087
"23","Department of Health","NHS East Lancashire","Block Non Pbr","A & S  - Nhs","Cheshire West Pct",20716,2011-01-04,3971309
"24","Department of Health","NHS East Lancashire","Block Non Pbr","A & S  - Nhs","Christie Hospital Nhs Trust",20705,2011-01-04,199918
"25","Department of Health","NHS East Lancashire","Charity","P H - Partnerships","Early Break",218359,2011-01-12,37917
"26","Department of Health","NHS East Lancashire","Block Pbr","A & S  - Nhs","East Lancashire Hospitals Nhs Trust",20706,2011-01-04,16491693
"27","Department of Health","NHS East Lancashire","Block Pbr","A & S  - Nhs","East Lancashire Hospitals Nhs Trust",20955,2011-01-12,712166
"28","Department of Health","NHS East Lancashire","Non Contracted Spot Purchase","A & S  - Nhs","East Lancashire Hospitals Nhs Trust",18290,2011-01-20,186896.85
"29","Department of Health","NHS East Lancashire","Non Contracted Spot Purchase","A & S  - Nhs","East Lancashire Hospitals Nhs Trust",18305,2011-01-20,175141.6
"30","Department of Health","NHS East Lancashire","Non Contracted Spot Purchase","A & S  - Nhs","East Lancashire Hospitals Nhs Trust",18879,2011-01-20,183950.26
"31","Department of Health","NHS East Lancashire","Non Contracted Spot Purchase","A & S  - Nhs","East Lancashire Hospitals Nhs Trust",19400,2011-01-20,202664.56
"32","Department of Health","NHS East Lancashire","Non Contracted Spot Purchase","A & S  - Nhs","East Lancashire Hospitals Nhs Trust",20747,2011-01-20,175124.1
"33","Department of Health","NHS East Lancashire","Non Contracted Spot Purchase","A & S  - Nhs","East Lancashire Hospitals Nhs Trust",20935,2011-01-28,31138
"34","Department of Health","NHS East Lancashire","Non Contracted Spot Purchase","A & S  - Nhs","East Lancashire Hospitals Nhs Trust",20934,2011-01-28,42577
"35","Department of Health","NHS East Lancashire","Non Contracted Spot Purchase","A & S  - Nhs","East Lancashire Hospitals Nhs Trust",20659,2011-01-28,33264.1
"36","Department of Health","NHS East Lancashire","Non Contracted Spot Purchase","A & S  - Nhs","East Lancashire Hospitals Nhs Trust",20939,2011-01-28,28654
"37","Department of Health","NHS East Lancashire","Non Contracted Spot Purchase","A & S  - Nhs","East Lancashire Hospitals Nhs Trust",20940,2011-01-28,31281
"38","Department of Health","NHS East Lancashire","Non Contracted Spot Purchase","A & S  - Nhs","East Lancashire Hospitals Nhs Trust",20941,2011-01-28,30027.25
"39","Department of Health","NHS East Lancashire","Comm Non Nhs Other Contractual","Contractor Led Pms","East Lancs Medical Services",217204,2011-01-04,94000
"40","Department of Health","NHS East Lancashire","B/Burn & Dist. Med. Co-Op","Gp Ooh Services","East Lancs Medical Services",218525,2011-01-13,226653
"41","Department of Health","NHS East Lancashire","Property Services  / Estates","Estate Running Costs","Eric Wright Construction",218104,2011-01-10,321903.97
"42","Department of Health","NHS East Lancashire","Miscellanous","Ngms Miscellaneous","Green Dreams Project Cic",218327,2011-01-11,25000
"43","Department of Health","NHS East Lancashire","Block Non Pbr","Community Healthcare - Nhs","Heywood,Middleton And Rochdale Pct",21020,2011-01-14,41112
"44","Department of Health","NHS East Lancashire","Interest On Finance Lease","Estate Running Costs","Inhoco 2952 Ltd",220876,2011-01-28,52810.9
"45","Department of Health","NHS East Lancashire","Pfi Service Charges","Estate Running Costs","Inhoco 2952 Ltd",220876,2011-01-28,33786.25
"46","Department of Health","NHS East Lancashire","Pfi Service Charges","Estate Running Costs","Inhoco 2952 Ltd",220876,2011-01-28,26977.66
"47","Department of Health","NHS East Lancashire","Comm Non Nhs Other Contractual","Contractor Led Pms","Integral Healthcare Partnership",217205,2011-01-04,55875
