"","TIMESTAMP_LessOne","Qry_AllertonBywater_Daily.RAIN_mm_TOT","Qry_Middleton_Daily.RAIN_mm_TOT","Qry_Otley_Daily.RAIN_mm_TOT","Qry_Shadwell_Daily.RAIN_mm_TOT","Qry_PotteryField_Daily.RAIN_mm_TOT"
"1",2014-03-01,0.2,0,0,0.2,0
"2",2014-03-02,6.399998,7.399997,12.79999,6.799998,6.399998
"3",2014-03-03,0.2,0,0,0.8,0.4
"4",2014-03-04,0,0.2,0.2,0.2,0
"5",2014-03-05,0.2,0,0,0,0
"6",2014-03-06,1,0.2,0.2,0,0
"7",2014-03-07,2.2,2.4,3.400001,2.8,2.4
"8",2014-03-08,0,0,0,0,0
"9",2014-03-09,0,0,0,0,0
"10",2014-03-10,0,0,0,0,0
"11",2014-03-11,0.2,0,0,0,0
"12",2014-03-12,0,0,0,0,0
"13",2014-03-13,0.2,0,0,0,0
"14",2014-03-14,0,0.2,0.2,0,0
"15",2014-03-15,0,0,0,0,0
"16",2014-03-16,0,0,0,0,0
"17",2014-03-17,0,0,0,0,0
"18",2014-03-18,1.4,3.600001,3.200001,1.2,1.6
"19",2014-03-19,0,0,0,0.2,0.2
"20",2014-03-20,2,6.999998,2.4,2.8,5.999999
"21",2014-03-21,1.4,1.8,1.4,1,1.4
"22",2014-03-22,2.8,1.8,4.6,2.2,2.8
"23",2014-03-23,2,0.4,0.4,0.4,1.6
"24",2014-03-24,0.2,0.2,0.2,0,0.2
"25",2014-03-25,2.4,3.200001,3.600001,3.800001,2.8
"26",2014-03-26,1.4,1.2,2.6,2.4,1.4
"27",2014-03-27,1.4,5.799999,2.2,0.8,1.8
"28",2014-03-28,9.999995,10.39999,11.39999,12.59999,10.39999
"29",2014-03-29,0,0,0.2,0,0
"30",2014-03-30,0,0,0,0,0
"31",2014-03-31,0.2,0.8,4.4,0.2,0.4
