"","Payment Date","Expense Type","Expense Area","Supplier Name","Transaction Ref","Line No","Line Value"
"1",2013-03-31,"Block SLA Other","SLA Adjustments","Warwickshire PCT","0000113270","001",120000
"2",2013-03-28,"Drugs","Integrated Sexual Health Servi","Lloyds Pharmacy","0000182605","001",229644.5
"3",2013-03-28,"Audit Fees : Statutory","Corporate - Dir Of Finance","Price Waterhouse Coopers LLP","0000182621","001",27813
"4",2013-03-27,"software","Corporate Systems","Ascribe Ltd","0000181909","001",55860
"5",2013-03-27,"software","IT Services","Bytes Software Services","0000181431","001",1788.9
"6",2013-03-27,"Prepayments Other","Debtors - Prepayments","Bytes Software Services","0000181431","002",32576.7
"7",2013-03-27,"Interpreting services","CommunityServices Pathway Mgmt","Coventry City Council","0000182102","001",171012.6
"8",2013-03-27,"hardware","Corporate Systems","Proact IT UK Ltd","0000181942","001",123010.8
"9",2013-03-27,"hardware","Corporate Systems","Proact IT UK Ltd","0000181942","002",23760
"10",2013-03-27,"Computer Network Costs","IT Strategy","Proact IT UK Ltd","0000181942","003",20447.52
"11",2013-03-27,"other eng plant and equipment","Backlog Maintenance","L. Darby & Son Ltd.","0000182017","001",82362
"12",2013-03-27,"server maintenance","IT Services","Proact IT UK Ltd","0000181226","001",1153.68
"13",2013-03-27,"Prepayments Other","Debtors - Prepayments","Proact IT UK Ltd","0000181226","002",13844.14
"14",2013-03-27,"software","IT Services","Proact IT UK Ltd","0000181226","003",1622.64
"15",2013-03-27,"Prepayments Other","Debtors - Prepayments","Proact IT UK Ltd","0000181226","004",19471.62
"16",2013-03-27,"software","IT Services","Bytes Software Services","0000180007","001",5310.21
"17",2013-03-27,"Prepayments Other","Debtors - Prepayments","Bytes Software Services","0000180007","002",58412.38
"18",2013-03-26,"prof fees architects","CoE Secondary Care MH St Mich","The Design Buro","0000181732","001",56387.5
"19",2013-03-26,"other eng plant and equipment","Backlog Maintenance","Swan Generators Ltd","0000181900","001",24373
"20",2013-03-26,"other eng plant and equipment","Backlog Maintenance","Swan Generators Ltd","0000181900","002",33879
"21",2013-03-26,"other eng plant and equipment","Backlog Maintenance","Swan Generators Ltd","0000181900","003",18961
"22",2013-03-26,"Prepayments Other","Debtors - Prepayments","HFMA Ltd","0000182070","001",31118
"23",2013-03-26,"bldg-fittings","Male Low Secure","Arthur M Griffiths & Son Ltd","0000181644","001",308827.66
"24",2013-03-26,"software","IT Strategy","Mckesson","0000181671","001",35207.54
"25",2013-03-26,"External Contracts Pharmacy","Medicine Management","Lloyds Pharmacy","0000182026","001",37304.29
"26",2013-03-26,"Drugs","Director of Op Management","Lloyds Pharmacy","0000182026","002",48184.85
"27",2013-03-26,"Drugs","Pharmacy South Warwickshire","Lloyds Pharmacy","0000182026","003",16419.32
"28",2013-03-26,"Drugs","LD - Medical","Lloyds Pharmacy","0000182026","004",6156.24
"29",2013-03-26,"Drugs","MH Management","Lloyds Pharmacy","0000182026","005",9924.45
"30",2013-03-26,"Drugs","Director of Op Management","Lloyds Pharmacy","0000182026","006",86.55
"31",2013-03-26,"Drugs","Pharmacy South Warwickshire","Lloyds Pharmacy","0000182026","007",29.49
"32",2013-03-26,"Drugs","LD - Medical","Lloyds Pharmacy","0000182026","008",11.06
"33",2013-03-26,"Drugs","MH Management","Lloyds Pharmacy","0000182026","009",17.83
"34",2013-03-26,"Drugs","Director of Op Management","Lloyds Pharmacy","0000182026","010",40510.26
"35",2013-03-26,"Drugs","Pharmacy South Warwickshire","Lloyds Pharmacy","0000182026","011",13804.15
"36",2013-03-26,"Drugs","LD - Medical","Lloyds Pharmacy","0000182026","012",5175.71
"37",2013-03-26,"Drugs","MH Management","Lloyds Pharmacy","0000182026","013",8343.52
"38",2013-03-26,"Legal/Prof Fees","Corprate Affairs & Governance","Mills & Reeve","0000182087","001",27210.71
"39",2013-03-25,"hardware","IT Strategy","Dell Incorporated","0000178972","001",85155.6
"40",2013-03-25,"Prepayments Other","Debtors - Prepayments","Coventry City Council","0000181777","001",26847
"41",2013-03-25,"Debtors Recharge NHS","Debtors - SLS Control","Coventry City Council","0000178809","001",52363.22
"42",2013-03-25,"hardware","Network Topups","Proact IT UK Ltd","0000178927","001",106172.5
"43",2013-03-25,"hardware","Network Topups","Proact IT UK Ltd","0000178927","002",16012.03
"44",2013-03-25,"server maintenance","IT Strategy","Proact IT UK Ltd","0000178927","003",9.76
"45",2013-03-25,"Prepayments Other","Debtors - Prepayments","Proact IT UK Ltd","0000178927","004",341.5
"46",2013-03-25,"server maintenance","IT Strategy","Proact IT UK Ltd","0000178927","005",163.87
"47",2013-03-25,"Prepayments Other","Debtors - Prepayments","Proact IT UK Ltd","0000178927","006",5735.47
"48",2013-03-25,"server maintenance","IT Strategy","Proact IT UK Ltd","0000178927","007",105.04
"49",2013-03-25,"Prepayments Other","Debtors - Prepayments","Proact IT UK Ltd","0000178927","008",3676.3
"50",2013-03-25,"server maintenance","IT Strategy","Proact IT UK Ltd","0000178927","009",383.28
"51",2013-03-25,"Prepayments Other","Debtors - Prepayments","Proact IT UK Ltd","0000178927","010",13414.59
"52",2013-03-25,"Prepayments Other","Debtors - Prepayments","Bytes Software Services","0000181346","001",25186.8
"53",2013-03-25,"Prepayments Other","Debtors - Prepayments","Rugby Borough Council","0000181778","001",129525
"54",2013-03-25,"software","IT Services","Bytes Software Services","0000180134","001",9600
"55",2013-03-25,"Prepayments Other","Debtors - Prepayments","Bytes Software Services","0000180134","002",105600
"56",2013-03-25,"Prepayments Other","Debtors - Prepayments","Warwick District Council","0000181757","001",72534
"57",2013-03-25,"hardware","Network Topups","Proact IT UK Ltd","0000179192","001",480
"58",2013-03-25,"hardware","Network Topups","Proact IT UK Ltd","0000179192","002",4.8
"59",2013-03-25,"hardware","Network Topups","Proact IT UK Ltd","0000179192","003",14.4
"60",2013-03-25,"hardware","Network Topups","Proact IT UK Ltd","0000179192","004",51508.8
"61",2013-03-25,"hardware","Network Topups","Proact IT UK Ltd","0000179192","005",1200
"62",2013-03-25,"server maintenance","IT Strategy","Proact IT UK Ltd","0000179192","006",2922.72
"63",2013-03-25,"Purchase of H'Care Vol Sector","Fast Response","Methodist Homes","0000179741","001",36645.5
"64",2013-03-25,"Data Lines","IT Services","BT Global Services","0000180185","001",26121.69
"65",2013-03-25,"Prepayments Other","Debtors - Prepayments","Coventry City Council","0000181763","001",31792.5
"66",2013-03-25,"Lease Rents","Utilities","Hortons' Estate Limited","0000179951","001",2884.62
"67",2013-03-25,"Service Charge","Utilities","Hortons' Estate Limited","0000179951","002",2106.82
