"","Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (<U+00A3>)","Payscale Maximum (<U+00A3>)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"1","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-088","G6",57075,75035,"Policy Manager",2,"Policy"
"2","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-088","G7",45299,61976,"Analyst",1,"Policy"
"3","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-088","SEO",33675,45769,"Policy Manager",1,"Policy"
"4","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-088","HEO",26492,37316,"Policy Support Officer",1,"Policy"
"5","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-088","FS",29992,41546,"Policy Manager",1,"Policy"
"6","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-088","EO",21438,30275,"Executive Assistant",0.5,"Policy"
"7","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-075","G6",57075,75035,"Policy Manager",1,"Policy"
"8","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-075","G7",45299,61976,"Policy Manager",1,"Policy"
"9","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-075","SEO",33675,45769,"Policy Manager",1.81,"Policy"
"10","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-075","EO",21438,30275,"Business Support Officer",0.5,"Policy"
"11","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-078","G7",45299,61976,"Policy Manager",3.8,"policy"
"12","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-078","SEO",33675,45769,"Policy Manager",1,"policy"
"13","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-078","EO",21438,30275,"Business Support Officer",1,"policy"
"14","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-081","G6",57075,75035,"Senior Policy Manager",0.59,"Policy"
"15","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-081","G7",45299,61976,"Senior Policy Manager",3.59,"Policy"
"16","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-081","SEO",33675,45769,"Policy Support Officer",3.4,"Policy"
"17","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-081","HEO",26492,37316,"Policy Manager",1,"Policy"
"18","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-081","EO",21438,30275,"Policy Support Officer",3.5,"Policy"
"19","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-081","FS",29992,41546,"Policy Manager",1,"Policy"
"20","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-077","G6",57075,75035,"Policy Adviser",1,"Policy"
"21","Department of Health","Department of Health","Social Care Local Government & Care Partnerships Directorate","SC-077","G7",45299,61976,"Policy Adviser",3.19,"Policy"
