"","CPS outcomes by principal offence category Cheshire October 2010","Number of Defendants convicted","Convictions Percentage (%)","Number of Defendants Unsuccessful Prosecutions","Unsuccessful Prosecutions Percentage (%)"
"1","A Homicide",0,0,0,0
"2","B Offences Against The Person",158,79,42,21
"3","C Sexual Offences",8,72.7,3,27.3
"4","D Burglary",27,81.8,6,18.2
"5","E Robbery",1,50,1,50
"6","F Theft And Handling",198,93,15,7
"7","G Fraud And Forgery",10,83.3,2,16.7
"8","H Criminal Damage",56,87.5,8,12.5
"9","I Drugs Offences",68,98.6,1,1.4
"10","J Public Order Offences",112,91.8,10,8.2
"11","K All Other Offences (excluding Motoring)",93,83.8,18,16.2
"12","L Motoring Offences",616,90.2,67,9.8
"13","Admin Finalisations",0,0,7,100
"14","TOTAL",1347,88.2,180,11.8
