"","Date Occurred","Local Authority Department","CIPFA Classification","Summary of purpose of expenditure","Merchant Category","Merchant","Settlement Amount","Irrecoverable VAT"
"1",2015-01-03,"Housing General Fund","Housing Services - General Fund","Bed And Breakfast","Travelodge","TRAVELODGE WEBSITE",55,0
"2",2015-01-05,"Housing General Fund","Housing Services - General Fund","Bed And Breakfast","Travelodge","TRAVELODGE WEBSITE",233.33,0
"3",2015-01-05,"Housing General Fund","Housing Services - General Fund","Bed And Breakfast","Travelodge","TRAVELODGE WEBSITE",250,0
"4",2015-01-09,"Housing General Fund","Housing Services - General Fund","Bed And Breakfast","Travelodge","RESERVATION REFUND",-248.33,0
"5",2015-01-12,"Housing General Fund","Housing Services - General Fund","Bed And Breakfast","Travelodge","TRAVELODGE WEBSITE",233.33,0
"6",2015-01-12,"Housing General Fund","Housing Services - General Fund","Bed And Breakfast","Travelodge","TRAVELODGE WEBSITE",220,0
"7",2015-01-12,"Housing General Fund","Housing Services - General Fund","Bed And Breakfast","Travelodge","TRAVELODGE WEBSITE",48.33,0
"8",2015-01-19,"Housing General Fund","Housing Services - General Fund","Bed And Breakfast","Travelodge","TRAVELODGE WEBSITE",233.33,0
"9",2015-01-22,"Housing General Fund","Housing Services - General Fund","Bed And Breakfast","Travelodge","TRAVELODGE WEBSITE",34.17,0
"10",2015-01-26,"Housing General Fund","Housing Services - General Fund","Bed And Breakfast","Travelodge","TRAVELODGE WEBSITE",233.33,0
"11",2015-01-08,"Environment","Central Support","Court And Legal Costs","Fines","HMCOURTS-SERVICE.G",100,0
"12",2015-01-14,"Environment","Central Support","Court And Legal Costs","Fines","HMCOURTS-SERVICE.G",20,0
"13",2015-01-20,"Environment","Central Support","Court And Legal Costs","Fines","HMCOURTS-SERVICE.G",180,0
"14",2015-01-30,"Environment","Environment and Regulatory Services","Equipment","Book stores","Amazon Svcs Europe,SAR",124.38,0
"15",2015-01-30,"Environment","Environment and Regulatory Services","Equipment","Direct sales companies","Amazon UK Retail",365.54,0
"16",2015-01-08,"Finance And Property","Central Support","Professional Subscriptions","Membership organisations","WWW.CIPFA.ORG.UK",310,0
"17",2015-01-30,"Finance And Property","Central Support","Office Furniture","Furniture & home furnishing","BACK IN ACTION",359,0
"18",2015-01-08,"Chief Executive Department","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201637997",4.04,0
"19",2015-01-08,"Chief Executive Department","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201637997",0.6,0
"20",2015-01-08,"Chief Executive Department","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201637997",161.6,0
"21",2015-01-08,"Chief Executive Department","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201637997",4,0
"22",2015-01-08,"Chief Executive Department","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201638014",47,0
"23",2015-01-08,"Chief Executive Department","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201638014",4,0
"24",2015-01-08,"Chief Executive Department","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201638014",1.18,0
"25",2015-01-08,"Chief Executive Department","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201638014",0.6,0
"26",2015-01-09,"Corporate Services","Corporate & Democratic Core","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201639462",119.2,0
"27",2015-01-09,"Corporate Services","Corporate & Democratic Core","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201639462",4,0
"28",2015-01-09,"Corporate Services","Corporate & Democratic Core","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201639462",2.98,0
"29",2015-01-09,"Corporate Services","Corporate & Democratic Core","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201639462",0.6,0
"30",2015-01-09,"Chief Executive Department","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201639482",0.6,0
"31",2015-01-09,"Chief Executive Department","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201639482",4,0
"32",2015-01-09,"Chief Executive Department","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201639482",4.52,0
"33",2015-01-09,"Chief Executive Department","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201639482",180.6,0
"34",2015-01-13,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201640950",68,0
"35",2015-01-13,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201640950",87,0
"36",2015-01-13,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201640950",1.7,0
"37",2015-01-13,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201640950",2.18,0
"38",2015-01-13,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201640950",4,0
"39",2015-01-13,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201641023",68,0
"40",2015-01-13,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201641023",2.16,0
"41",2015-01-13,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201641023",4,0
"42",2015-01-13,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201641023",1.7,0
"43",2015-01-13,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201641023",86.5,0
"44",2015-01-13,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201641183",4,0
"45",2015-01-13,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201641183",35.45,0
"46",2015-01-13,"Corporate Services","Central Support","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201641183",0.89,0
"47",2015-01-13,"Finance And Property","Financing & Investment Income and Expend","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201642002",0.11,0
"48",2015-01-13,"Finance And Property","Financing & Investment Income and Expend","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201642002",4.5,0
"49",2015-01-13,"Finance And Property","Financing & Investment Income and Expend","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201642002",0.6,0
"50",2015-01-13,"Finance And Property","Financing & Investment Income and Expend","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201642002",4,0
"51",2015-01-14,"Economic Regeneration","Planning Services","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201644550",4,0
"52",2015-01-14,"Economic Regeneration","Planning Services","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201644550",0.58,0
"53",2015-01-14,"Economic Regeneration","Planning Services","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201644550",29.5,0
"54",2015-01-14,"Economic Regeneration","Planning Services","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201644550",0.74,0
"55",2015-01-14,"Economic Regeneration","Planning Services","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201644550",23,0
"56",2015-01-20,"Economic Regeneration","Cultural and Related Services","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201647426",32.8,0
"57",2015-01-20,"Economic Regeneration","Cultural and Related Services","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201647426",89.8,0
"58",2015-01-20,"Economic Regeneration","Cultural and Related Services","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201647426",2.25,0
"59",2015-01-20,"Economic Regeneration","Cultural and Related Services","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201647426",4,0
"60",2015-01-20,"Economic Regeneration","Cultural and Related Services","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201647426",0.6,0
"61",2015-01-20,"Economic Regeneration","Cultural and Related Services","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201647426",0.82,0
"62",2015-01-20,"Corporate Services","Corporate & Democratic Core","Public Transport Expense Claims","Travel agencies","PORTMAN TRVL 07201648121",0.6,0
