"","Department Family","Entity","Paid Date","Expense Type","Expense Area","Supplier","Trans No"," Amount "
"1","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-07,"Non NHS Statutory Sector","Heantun Hsg Respite&day care","Heantun Housing Care",1409,34256
"2","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-07,"Non NHS Statutory Sector","Heantun Hsg Pennfields EMI","Heantun Housing Care",1414,200286.25
"3","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-07,"Non NHS Statutory Sector","Heantun Hsg Oxley contin. Care","Heantun Housing Care",1419,212925.25
"4","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-07,"Non NHS Statutory Sector","Heantun Hsg Bushbury EMI","Heantun Housing Care",1424,202648.5
"5","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-05,"Purchase of Healthcare - NHS","RWHT Block Contracts","Rl4 T : Royal Wolverhampton Hospita",1822,3778579.4
"6","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-07,"Purchase of Healthcare - Non","LD Pooled Budget","Wolverhampton City Council",2009,120697
"7","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-07,"Purchase of Healthcare - Non","Ind Cases - Complex Children","Wolverhampton City Council",2021,88416.7
"8","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-12,"RYJ T - Imperial College Healt","OATS","Ryj - Imperial College Healthcare Nhs Tr",10170122,31419
"9","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-26,"Admin & Clerical Seconded","Transforming Community Service","Taj Ft : Black Country Partnership",10171569,33333
"10","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-14,"Rent - General Premises","The Phoenix Centre","W-Ton  City  &  Walsall Lift  Accom.",10172101,35457.72
"11","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-07,"Free Nursing Care","Free Nursing Care Payments","Wolverhampton City Council",10174442,97768.97
"12","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-12,"Drugs - FP10","Non-Pay Report","Business Services Authority(Perscri",10174465,32478.84
"13","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-12,"Drugs - FP10","Heantun Hsg Drugs","Business Services Authority(Perscri",10174465,8367.05
"14","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-12,"Drugs - FP10","Mental Health Non-Pay","Business Services Authority(Perscri",10174465,6985.51
"15","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-12,"Drugs - FP10","Mental Health Non-Pay","Business Services Authority(Perscri",10174465,5713.61
"16","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-12,"Drugs - FP10","Child and Family Services","Business Services Authority(Perscri",10174465,4110.6
"17","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-12,"Drugs - FP10","Child Medical Services","Business Services Authority(Perscri",10174465,1761.21
"18","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-12,"Drugs - FP10","Elderly Care - Management","Business Services Authority(Perscri",10174465,925.7
"19","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-12,"Drugs - FP10","Learning Disability Management","Business Services Authority(Perscri",10174465,251.11
"20","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-12,"Internal Auditors","Finance","Rya T : West Midlands Ambulance Ser",10174470,34800
"21","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-12,"Other Miscellaneous","Finance","5Pe P : Dudley Pct",10175128,117140
"22","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-05,"RBK T - Walsall Hosp Purchase","Healthcare Block Contracts","Walsall Hospital Nhs Trust",10175216,187183
"23","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-12,"RRA FT - Heart of England Purc","Healthcare - Foundation","Rr1 Ft : Heart Of England Nhs Found",10175225,48676
"24","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-05,"RXK T - Sandwell & W Bham Purc","Healthcare Block Contracts","Rxk T : Sandwell And West Birmingha",10175226,75143
"25","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-05,"RQ3 T - B'ham Childrens Purcha","Healthcare - Foundation","Rq3 Ft : Birmingham Children'S Hosp",10175230,112113
"26","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-05,"5PE P - Dudley PCT Purchase of","Healthcare Block Contracts","Ryk T : Dudley & Walsall Mental Hea",10175233,48646
"27","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-05,"South Western Staffs Purchase","Healthcare Block Contracts","5Pk P : South Staffordshire Pct",10175234,27763
"28","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-05,"RJD FT - Mid Staffs Purchase o","Healthcare - Foundation","Rjd Ft : Mid Staffordshire Nhs Foun",10175235,29485
"29","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-05,"RJE T - North Staffs Purchase","Healthcare Block Contracts","Rje T : University Hospital Of Nort",10175236,27797
"30","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-05,"Purchase of Healthcare - NHS","RWHT Block Contracts","Rl4 T : Royal Wolverhampton Hospita",10175237,12750766
"31","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-05,"RL1 T - Robert Jones Purchase","Healthcare Block Contracts","Rl1 T : Robert Jones & Agnes Hunt O",10175238,26723
"32","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-05,"RNA FT - Dudley Group Purchase","Healthcare - Foundation","Rna Ft : The Dudley Group Of Hospit",10175242,244850
"33","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-05,"RRJ FT - Royal Orthopeadic Pur","Healthcare - Foundation","Rrj F : The Royal Orthopaedic Hosp Nhs",10175243,52746
"34","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-05,"Tier 1 LSCG","Healthcare Block Contracts","5Pg - Bham East And North Pct",10175305,1741659
"35","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-05,"RYA T -WMAS Purchase of Health","Healthcare Block Contracts","5Pg - Bham East And North Pct",10175306,655343
"36","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-05,"Tier 2 WMMSA","Healthcare Block Contracts","5Pg - Bham East And North Pct",10175307,1768617
"37","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-21,"Out of Hours Service Commissio","GMS & PMS - Out of Hours","Primecare",10175514,180745.33
"38","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-14,"Building - External Contracts","The Phoenix Centre","W-Ton  City  &  Walsall Lift  Accom.",10175611,31783.92
"39","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-18,"Rent - General Premises","The Phoenix Centre","W-Ton  City  &  Walsall Lift  Accom.",10175620,35457.72
"40","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-21,"Rent - General Premises","The Gem Centre","W-Ton  City  &  Walsall Lift  Accom.",10175621,95376.82
"41","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-14,"Non NHS Statutory Sector","Sickle Cell","Sickle Cell And Thalassaemia",10175767,26612.79
"42","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-14,"User Carer Involvement Officer","Planning Grid 3","Wolverhampton Voluntary Council",10175805,34721.5
"43","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-14,"Freephone line","Planning Grid 6","Wolverhampton Voluntary Council",10175805,9850
"44","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-21,"Free Nursing Care","Free Nursing Care Payments","Dudley Metropolitan Borough",10175873,50114.43
"45","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-18,"606 278 0188","Continuing Care","Wolverhampton City Council",10176023,25000
"46","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-18,"Purchase of Healthcare - Non","Mental Health Pool","Wolverhampton City Council",10176080,351132
"47","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-26,"Admin & Clerical Seconded","Transforming Community Service","Taj Ft : Black Country Partnership",10176101,217546.49
"48","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-25,"Free Nursing Care","Free Nursing Care Payments","Wolverhampton City Council",10176155,107074.43
"49","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-26,"Medical Agency Consultant","Palliative Care","Rl4 T : Royal Wolverhampton Hospita",10176387,38917.5
"50","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-26,"Recharge - RWHT - Drugs","Mental Health Non-Pay","Rl4 T : Royal Wolverhampton Hospita",10176401,36746.92
"51","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-26,"Recharge - RWHT - Drugs","Learning Disability Management","Rl4 T : Royal Wolverhampton Hospita",10176401,658.76
"52","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-26,"Drugs - FP10","Non-Pay Report","Business Services Authority(Perscri",10176414,28006.71
"53","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-26,"Drugs - FP10","Heantun Hsg Drugs","Business Services Authority(Perscri",10176414,9051.7
"54","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-26,"Drugs - FP10","Mental Health Non-Pay","Business Services Authority(Perscri",10176414,7667.55
"55","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-26,"Drugs - FP10","Mental Health Non-Pay","Business Services Authority(Perscri",10176414,4230.87
"56","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-26,"Drugs - FP10","Child Medical Services","Business Services Authority(Perscri",10176414,2078.25
"57","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-26,"Drugs - FP10","Child and Family Services","Business Services Authority(Perscri",10176414,1532.8
"58","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-26,"Drugs - FP10","Elderly Care - Management","Business Services Authority(Perscri",10176414,704.57
"59","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-26,"Drugs - FP10","Learning Disability Management","Business Services Authority(Perscri",10176414,371.34
"60","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-26,"Drugs - FP10","Non-Pay Report","Business Services Authority(Perscri",10176414,36.86
"61","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-28,"Non NHS Statutory Sector","Aquarius Primary Healthcare Wo","Wolverhampton City Council",10176453,64504
"62","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-28,"Non NHS Statutory Sector","Other Grants Aquarius Thorn Co","Wolverhampton City Council",10176453,32277
"63","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-28,"Non NHS Statutory Sector","Other Grants Aquarius Womens P","Wolverhampton City Council",10176453,14399
"64","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-28,"Computer Software - Purchases","IMT - Development (Incl CfH)","Destiny Wireless Plc",10176454,30000
"65","Wolverhampton City PCT","Wolverhampton City PCT",2011-07-28,"Non NHS Statutory Sector","Healthcare Grants","Wolverhampton City Council",10176608,855000
