"","CPS outcomes by principal offence category shire","Number of Defendants convicted","Convictions Percentage","Number of Defendants Unsuccessful Prosecutions","Unsuccessful Prosecutions Percentage"
"1","A Homicide",0,0,0,0
"2","B Offences Against The Person",321,74.8,108,25.2
"3","C Sexual Offences",13,46.4,15,53.6
"4","D Burglary",49,92.5,4,7.5
"5","E Robbery",9,69.2,4,30.8
"6","F Theft And Handling",364,90.5,38,9.5
"7","G Fraud And Forgery",29,82.9,6,17.1
"8","H Criminal Damage",111,90.2,12,9.8
"9","I Drugs Offences",137,92.6,11,7.4
"10","J Public Order Offences",213,84.9,38,15.1
"11","K All Other Offences (excluding Motoring)",105,79.5,27,20.5
"12","L Motoring Offences",549,94,35,6
"13","Admin Finalisations",0,0,14,100
"14","TOTAL",1900,85.9,312,14.1
