"","Dept Family","Entity","Date","Expense Type","Expense Area","Supplier","Transaction Number","Amount"
"1","NHS","UHCW NHS TRUST",2014-02-11,"OTHER ESTABLISHMENT COSTS","GROUP 18","MEDIHOME LTD",1137466,25880.27
"2","NHS","UHCW NHS TRUST",2014-02-11,"MEDICAL & SURGICAL EQUIP PURCH","GROUP 05","MEDTRONIC LTD",1137992,9600
"3","NHS","UHCW NHS TRUST",2014-02-11,"MEDICAL & SURGICAL EQUIP PURCH","GROUP 05","MEDTRONIC LTD",1137992,5562
"4","NHS","UHCW NHS TRUST",2014-02-11,"MEDICAL & SURGICAL EQUIP PURCH","GROUP 05","MEDTRONIC LTD",1137992,2005.2
"5","NHS","UHCW NHS TRUST",2014-02-11,"MEDICAL & SURGICAL EQUIP PURCH","GROUP 05","MEDTRONIC LTD",1137992,46296
"6","NHS","UHCW NHS TRUST",2014-02-11,"SERVICES REC FROM THIRD PARTY","NEUROSURGERY","BMI MERIDAN HOSPITAL",1217274,61299.26
"7","NHS","UHCW NHS TRUST",2014-02-11,"INVENTORIES","BALANCE SHEET","ALLIANCE HEALTHCARE",1520897,26899.18
"8","NHS","UHCW NHS TRUST",2014-02-11,"MEDICAL & SURGICAL EQUIP PURCH","THEATRES","JOHNSON & JOHNSON MEDICAL LTD",1521116,901.1
"9","NHS","UHCW NHS TRUST",2014-02-11,"MEDICAL & SURGICAL EQUIP PURCH","THEATRES","JOHNSON & JOHNSON MEDICAL LTD",1521116,1802.21
"10","NHS","UHCW NHS TRUST",2014-02-11,"MEDICAL & SURGICAL EQUIP PURCH","THEATRES","JOHNSON & JOHNSON MEDICAL LTD",1521116,472.32
"11","NHS","UHCW NHS TRUST",2014-02-11,"MEDICAL & SURGICAL EQUIP PURCH","THEATRES","JOHNSON & JOHNSON MEDICAL LTD",1521116,472.32
"12","NHS","UHCW NHS TRUST",2014-02-11,"MEDICAL & SURGICAL EQUIP PURCH","THEATRES","JOHNSON & JOHNSON MEDICAL LTD",1521116,472.32
"13","NHS","UHCW NHS TRUST",2014-02-11,"MEDICAL & SURGICAL EQUIP PURCH","THEATRES","JOHNSON & JOHNSON MEDICAL LTD",1521116,497.65
"14","NHS","UHCW NHS TRUST",2014-02-11,"MEDICAL & SURGICAL EQUIP PURCH","THEATRES","JOHNSON & JOHNSON MEDICAL LTD",1521116,354.98
"15","NHS","UHCW NHS TRUST",2014-02-11,"MEDICAL & SURGICAL EQUIP PURCH","THEATRES","JOHNSON & JOHNSON MEDICAL LTD",1521116,453.37
"16","NHS","UHCW NHS TRUST",2014-02-11,"MEDICAL & SURGICAL EQUIP PURCH","THEATRES","JOHNSON & JOHNSON MEDICAL LTD",1521116,1698.52
"17","NHS","UHCW NHS TRUST",2014-02-11,"MEDICAL & SURGICAL EQUIP PURCH","THEATRES","JOHNSON & JOHNSON MEDICAL LTD",1521116,1922.52
"18","NHS","UHCW NHS TRUST",2014-02-11,"MEDICAL & SURGICAL EQUIP PURCH","THEATRES","JOHNSON & JOHNSON MEDICAL LTD",1521116,845.9
