"","Department family","Entity","Date","Expense type","Expense area","Supplier","Transaction number","Amount","VAT registration number"
"1","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","ROYAL MASONIC BENEVOLENT INSTITUTION","Feb-12",28743.7,""
"2","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-29,"HEALTHCARE FROM LOCAL AUTHORITIES","CONTRACTING FINANCE","NORTHUMBERLAND COUNTY COUNCIL","028794/",45736.88,""
"3","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-27,"HEALTHCARE FROM INDEPENDENT SECTOR","CENTRAL FINANCE","GIBSON FREAKE EDGE","036/1112",40320,""
"4","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM VOLUNTARY SECTOR","CONTRACTING FINANCE","MARIE CURIE CANCER CARE","39481",52423,""
"5","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE FROM INDEPENDENT SECTOR","CONTRACTING FINANCE","NORTHUMBERLAND COUNTY COUNCIL","45866",2799412.51,""
"6","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-16,"RENT","CENTRAL FINANCE","NORTHUMBERLAND COUNTY COUNCIL","54168",31000,""
"7","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-27,"HEALTHCARE FROM LOCAL AUTHORITIES","CONTRACTING FINANCE","NORTHUMBERLAND COUNTY COUNCIL","57174",276570.98,""
"8","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-27,"HEALTHCARE FROM LOCAL AUTHORITIES","CONTRACTING FINANCE","NORTHUMBERLAND COUNTY COUNCIL","57178",139000.11,""
"9","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-02,"HEALTHCARE FROM LOCAL AUTHORITIES","CONTRACTING FINANCE","NORTHUMBERLAND COUNTY COUNCIL","57978",276570.98,""
"10","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-02,"HEALTHCARE FROM LOCAL AUTHORITIES","CONTRACTING FINANCE","NORTHUMBERLAND COUNTY COUNCIL","58150",139272.52,""
"11","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-16,"HEALTHCARE FROM LOCAL AUTHORITIES","CONTRACTING FINANCE","NORTHUMBERLAND COUNTY COUNCIL","59786",276570.98,""
"12","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM LOCAL AUTHORITIES","CONTRACTING FINANCE","NORTHUMBERLAND COUNTY COUNCIL","59787",2398534.43,""
"13","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-29,"HEALTHCARE FROM LOCAL AUTHORITIES","CONTRACTING FINANCE","NORTHUMBERLAND COUNTY COUNCIL","59789",158328.23,""
"14","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-16,"HEALTHCARE FROM LOCAL AUTHORITIES","CONTRACTING FINANCE","NORTHUMBERLAND COUNTY COUNCIL","59790",148143.36,""
"15","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM LOCAL AUTHORITIES","CONTRACTING FINANCE","NORTHUMBERLAND COUNTY COUNCIL","61045",276570.98,""
"16","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM LOCAL AUTHORITIES","CONTRACTING FINANCE","NORTHUMBERLAND COUNTY COUNCIL","61046",276570.98,""
"17","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM LOCAL AUTHORITIES","CONTRACTING FINANCE","NORTHUMBERLAND COUNTY COUNCIL","61047",185062.47,""
"18","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM LOCAL AUTHORITIES","CONTRACTING FINANCE","NORTHUMBERLAND COUNTY COUNCIL","61049",185062.47,""
"19","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM LOCAL AUTHORITIES","CONTRACTING FINANCE","NORTHUMBERLAND COUNTY COUNCIL","61054",45323.24,""
"20","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-29,"HEALTHCARE FROM LOCAL AUTHORITIES","CONTRACTING FINANCE","NORTHUMBERLAND COUNTY COUNCIL","61237",3690230.03,""
"21","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","BONDCARE","Jan-29",30539.39,""
"22","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","GATESHEAD HEALTH NHS FOUNDATION TRUST","122990",130112,""
"23","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","PRESTWICK CARE LTD","15305-15335",28212.56,""
"24","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","PRESTWICK CARE LTD","15351-15400",41741.57,""
"25","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-15,"HEALTHCARE - NHS TRUSTS","CONTRACTING FINANCE","NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST","16127548",51999,""
"26","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","EXECUTIVE CARE GROUP","180312",26203.5,""
"27","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-09,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","GILL GROUP OF COMPANIES","1922012",25631.58,""
"28","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","ASCOT CARE NORTH EAST","2",28287.73,""
"29","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","AUTUMNCARE GROUP LTD","2",37276.37,""
"30","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","BONDCARE","2",51530.5,""
"31","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","TWEEDMOUTH HOUSE","2",43736.35,""
"32","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","GILL GROUP OF COMPANIES","02-Mar",38367.46,""
"33","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","FOUR SEASONS HEALTH CARE LTD","2/NE23/8",43276.88,""
"34","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","FOUR SEASONS HEALTH CARE LTD","2/NE24",27160.56,""
"35","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","FOUR SEASONS HEALTH CARE LTD","2/NE24/2LH",56088.82,""
"36","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","FOUR SEASONS HEALTH CARE LTD","2/NE46",42499.06,""
"37","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","FOUR SEASONS HEALTH CARE LTD","2/NE61",48401.13,""
"38","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","FOUR SEASONS HEALTH CARE LTD","2/NE65",28805.2,""
"39","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","FOUR SEASONS HEALTH CARE LTD","2/TD15",29374.6,""
"40","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-02,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","AUTUMNCARE GROUP LTD","20-Feb-12",26172.03,""
"41","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-02,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","BONDCARE","20-Feb-12",34911.89,""
"42","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","UNDERWOOD HALL LTD TA WENTWORTH GRANGE","20010",58391.6,""
"43","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE FROM LOCAL AUTHORITIES","CONTRACTING FINANCE","NORTHUMBERLAND COUNTY COUNCIL","200618",192459.92,""
"44","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-09,"HEALTHCARE - OTHER NHS BODIES","CONTRACTING FINANCE","DEPARTMENT OF HEALTH","206496",78700.56,""
"45","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-23,"HEALTHCARE - PCTS","CONTRACTING FINANCE","DEPARTMENT OF HEALTH","206927",154661.13,""
"46","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2012-03-30,"HEALTHCARE FROM COMMERCIAL SECTOR","CONTRACTING FINANCE","BARCHESTER HEALTHCARE LTD","310007-2",29429.22,""
"47","Department of Health","NORTHUMBERLAND CARE TRUST (COMM)",2020-03-06,"HEALTHCARE - FOUNDATION TRUSTS","CONTRACTING FINANCE","NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST","33702",294109,""
