"","Department Family","Entity","Date","Expense type","Expense area","Supplier","Transaction number","Amount"
"1","Department of Health","Leicestershire Partnership NHS Trust",2012-09-04,"Gas","Glenfrith Site Services (LD)","TOTAL GAS & POWER LTD","3000947719/10MAY12",38428.38
"2","Department of Health","Leicestershire Partnership NHS Trust",2012-09-04,"Payroll Services - NHS Non Contract","Hr Advisory Teams","NHS SHARED BUS SERV","100011275",40903.37
"3","Department of Health","Leicestershire Partnership NHS Trust",2012-09-04,"Lease Rents","OSL Site Services (AMHS)","CABOT TRUSTEES LTD","020",40615.2
"4","Department of Health","Leicestershire Partnership NHS Trust",2012-09-04,"BOUGHT IN GPs","Gartree Prison","DR WILLIAMS & PARTNERS","001953",27155.66
"5","Department of Health","Leicestershire Partnership NHS Trust",2012-09-05,"Non Pay Reserves","Cost Improvement Programme (CIP)","INTERSERVE CONSTRUCTION LTD","VHE30452",44805.47
"6","Department of Health","Leicestershire Partnership NHS Trust",2012-09-05,"Contract Cleaning","Beaumont Leys HC Premises","WENDALE SRV GROUP LTD","8841",1562.49
"7","Department of Health","Leicestershire Partnership NHS Trust",2012-09-05,"Contract Cleaning","Community Int Care Beds","WENDALE SRV GROUP LTD","8841",2790.75
"8","Department of Health","Leicestershire Partnership NHS Trust",2012-09-05,"Contract Cleaning","Humberstone Road HC","WENDALE SRV GROUP LTD","8841",1753.65
"9","Department of Health","Leicestershire Partnership NHS Trust",2012-09-05,"Contract Cleaning","Melbourne Centre","WENDALE SRV GROUP LTD","8841",1029.99
"10","Department of Health","Leicestershire Partnership NHS Trust",2012-09-05,"Contract Cleaning","Merlyn Vaz HSCC","WENDALE SRV GROUP LTD","8841",12697.56
"11","Department of Health","Leicestershire Partnership NHS Trust",2012-09-05,"Contract Cleaning","Merridale Med Centre","WENDALE SRV GROUP LTD","8841",1886.53
"12","Department of Health","Leicestershire Partnership NHS Trust",2012-09-05,"Contract Cleaning","New Parks HC Premises","WENDALE SRV GROUP LTD","8841",953.59
"13","Department of Health","Leicestershire Partnership NHS Trust",2012-09-05,"Contract Cleaning","Pasley Road HC Premises","WENDALE SRV GROUP LTD","8841",1667.38
"14","Department of Health","Leicestershire Partnership NHS Trust",2012-09-05,"Contract Cleaning","Prince Philip House","WENDALE SRV GROUP LTD","8841",1826.67
"15","Department of Health","Leicestershire Partnership NHS Trust",2012-09-05,"Contract Cleaning","Rushey Mead HC Premises","WENDALE SRV GROUP LTD","8841",1112.27
"16","Department of Health","Leicestershire Partnership NHS Trust",2012-09-05,"Contract Cleaning","Springfield Road HC","WENDALE SRV GROUP LTD","8841",837.68
"17","Department of Health","Leicestershire Partnership NHS Trust",2012-09-05,"Contract Cleaning","St Peters LIFT","WENDALE SRV GROUP LTD","8841",5036.09
"18","Department of Health","Leicestershire Partnership NHS Trust",2012-09-05,"Contract Cleaning","Uppingham Road HC","WENDALE SRV GROUP LTD","8841",1029.97
"19","Department of Health","Leicestershire Partnership NHS Trust",2012-09-05,"Contract Cleaning","Westcotes LIFT Building","WENDALE SRV GROUP LTD","8841",4030.63
"20","Department of Health","Leicestershire Partnership NHS Trust",2012-09-06,"WIP Project Not in BS - I T Equipment","Work in Progress","DELL COMPUTERS","7401960180",47343.6
"21","Department of Health","Leicestershire Partnership NHS Trust",2012-09-07,"WIP Project Not in BS - Building Works","Work in Progress","INTERSERVE BUILDING LTD","VEM51997",542859.79
"22","Department of Health","Leicestershire Partnership NHS Trust",2012-09-07,"Lease Rents","Adult City East/Central Medical Secretaries","LEICESTER LIFT CO","L1778",22229.9
"23","Department of Health","Leicestershire Partnership NHS Trust",2012-09-10,"Crs_NHS_LT1y -Resus Inventory Supplied.","Balance Sheet Collection","NHS SUPPLY CHAIN (ST1450)","1013086564",73599.84
"24","Department of Health","Leicestershire Partnership NHS Trust",2012-09-10,"Crs_NHS_LT1y -Resus Inventory Supplied.","Balance Sheet Collection","NHS SUPPLY CHAIN (ST1450)","1013083131",51767.56
"25","Department of Health","Leicestershire Partnership NHS Trust",2012-09-10,"Research & Development","Research & Development","UNIVERSITY OF LEICESTER","2230068101",45556.56
"26","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Adult City Drugs","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",5003.94
"27","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Adult County Drugs","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",10339.22
"28","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Ashby Nursing Ward","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",92.8
"29","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","C B T","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",4.33
"30","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","CAMHS Management","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",13658.2
"31","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Children Services Medical","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",12686.68
"32","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Coalville Snibston Ward","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",99.75
"33","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Coalville Ward 2","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",99.75
"34","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Coalville Ward 3","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",99.75
"35","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Dalgiesh Ward","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",10.5
"36","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Early Intervention Services (EIS/PIER)","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",1330.7
"37","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Eating Disorders Services (EDS)","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",9.14
"38","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","F P 10'S","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",5801.28
"39","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Fielding Palmer Nursing","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",91.02
"40","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Forensic Services - Community","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",53.6
"41","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Forensic Services - HPC Low Secure","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",146.93
"42","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Gu Medicine ( loughborough)","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",95.98
"43","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Hinckley Com Hospital Wards Non-Pay","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",58.79
"44","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Lough Charnwood Ward","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",60.07
"45","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Lough Gracedieu Ward","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",60.08
"46","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Lough Swithland Ward","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",60.07
"47","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Rutland Ward Nursing","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",142.47
"48","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","Snr Med Staff (Inc Med Reps)","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",972.73
"49","Department of Health","Leicestershire Partnership NHS Trust",2012-09-11,"FP10'S","St Lukes Stroke Ward ( Non Pay)","NHS BUSINESS SERVICES AUTHORITY (ST1450)","1000031882",268.4
"50","Department of Health","Leicestershire Partnership NHS Trust",2012-09-13,"Lease Rents","Bridge Park Plaza (Riverside)","RAYNSWAY PROPERTIES LTD","35105",61500
"51","Department of Health","Leicestershire Partnership NHS Trust",2012-09-17,"HIS LPT Costs","Health Informatics Service - Expenditure","PSU TECHNOLOGY GROUP LTD","25503",25900
"52","Department of Health","Leicestershire Partnership NHS Trust",2012-09-17,"Unitary Payment","Agnes Unit Site Services (LD)","ARDEN PARTNERSHIP (LEICESTER) LTD","0015/2012",98482.01
