"","Department","Entity","Date","Expense Type","Expense Area","Supplier ","Transaction Number"," Amount ","Description","Supplier Postcode","Supplier Type","Contract Number","Project Code","Expenditure Type","Vat Registration Number"
"1","Defra","Seafish",2013-02-06,"Contract","Project","Food Certification International Limited","13004",78390,"Macro Analysis of English Inshore Fisheries","IV3 8GY","","915 8514 14","","",""
"2","Defra","Seafish",2013-02-06,"Contract","Project","Multiply (UK) Limited","845",30000,"Fish is the Dish Family Challenge","EH12 5AL","","827 9958 59","","",""
"3","Defra","Seafish",2013-02-06,"Contract","Overhead","The Lancaster Landmark Hotel Company Limited","11868721",25415.18,"Events Organisatioccommodation","W2 2TY","","629 2442 36","","",""
"4","Defra","Seafish",2013-02-27,"Contract","Project","Castle Computer Services","sinv026208",40028.6,"Consultancy and Document Centric Solutions Licences for a new purchase order system","ML4 3HB","","380 0112 06","","",""
"5","Defra","CCW",2013-03-04,"Research & Design","Policy & Research","ACCENT MARKETING & RESEARCH LT","4292",29688,"Research - Annual Tracking survey","W4 5RT","SME","","","Programme",""
"6","Defra","CCW",2013-03-04,"Research & Design","Policy & Research","ACCENT MARKETING & RESEARCH LT","4293",33372,"Research - Universal Metering Programme","W4 5RT","SME","","","Programme",""
"7","Defra","CCW",2013-02-28,"Rent","Corporate Services","G V A GRIMLEY","8156125141",58788,"Rent for premises - Victoria Square House Birmingham ","B1 2JJ","Large ","","","Programme",""
"8","Defra","CCW",2013-02-28,"Service Charge","Corporate Services","G V A GRIMLEY","8156125141",18168,"Service Charge - Victoria Square House Birmingham ","B1 2JJ","Large ","","","Programme",""
"9","Defra","CCW",2013-02-28,"Car Parking(Contractual Fees)","Corporate Services","G V A GRIMLEY","8156125141",5400,"Rent for Car Parking spaces - Victoria Square House Birmingham ","B1 2JJ","Large ","","","Programme",""
"10","Defra","CCW",2013-03-04,"Rentals - Operating Lease - IT","Consumer Relations","NORTHGATE MANAGED SERVICES LTD","91251169",14875.43,"IT Managed Services ","HP2 4NW","Large ","","","Programme",""
"11","Defra","CCW",2013-03-04,"Rentals - Operating Lease - IT","Policy & Research","NORTHGATE MANAGED SERVICES LTD","91251169",7000.2,"IT Managed Services ","HP2 4NW","Large ","","","Programme",""
"12","Defra","CCW",2013-03-04,"Rentals - Operating Lease - IT","Board (Excluding Wales Chair)","NORTHGATE MANAGED SERVICES LTD","91251169",1166.7,"IT Managed Services ","HP2 4NW","Large ","","","Programme",""
"13","Defra","CCW",2013-03-04,"Rentals - Operating Lease - IT","Communications","NORTHGATE MANAGED SERVICES LTD","91251169",1166.7,"IT Managed Services ","HP2 4NW","Large ","","","Programme",""
"14","Defra","CCW",2013-03-04,"Rentals - Operating Lease - IT","ICT Services","NORTHGATE MANAGED SERVICES LTD","91251169",4958.47,"IT Managed Services ","HP2 4NW","Large ","","","Programme",""
"15","Defra","CCW",2013-02-11,"Research & Design","Policy & Research","SPA Future Thinking","14933",30000,"Research - Consumer Perception of leakage ","HP13 6AE","Large ","","","Programme",""
"16","Defra","VMD",2013-02-06,"STATUTORY RESIDUES SURVEILLANCE - SAMPLE COLLECTION","RESIDUES SURVEILLANCE UNIT","FOOD STANDARDS AGENCY","62546",38314.46,"Collection of samples of food animal products for laboratory testing under the Statutory Residues Surveillance Programme","YO1 7PX","GOVN","","","",""
"17","Defra","VMD",2013-02-08,"STATUTORY RESIDUES SURVEILLANCE - SAMPLE COLLECTION","RESIDUES SURVEILLANCE UNIT","FOOD STANDARDS AGENCY","62556",38314.46,"Collection of samples of food animal products for laboratory testing under the Statutory Residues Surveillance Programme","YO1 7PX","GOVN","","","",""
"18","Defra","VMD",2013-02-21,"SHARED SERVICE CHARGES - ESTATES","CORE SERVICES","DTZ","62726",148907.19,"Departmental recharge for Estates services","0","GOVN","","","","GB 88 8800 181"
"19","Defra","JNCC",2013-02-18,"CONTRACTED OUT CONSERVATION SERVICES","Surveillance and monitoring","BRITISH TRUST FOR ORNITHOLOGY","7597",29874.3,"Bird ringing licensing","IP24 2PU","SME","C11-0056-0531","100","Administration",""
"20","Defra","JNCC",2013-02-23,"SOFTWARE LICENCES","Marine monitoring & mapping","ESRI (UK) LTD","7603",30714,"Geographic Information System licence purchase","HP21 7QG","SME","C12-0235-0611","72","Marine ecosystem assessment & advice",""
"21","Defra","JNCC",2013-02-28,"OFFICE RENT","Governance & Corporate Services","GOODSIR GRAHAM COMMERCIAL LTD","7639",44130,"Monkstone House rent Apr-Jun13","EC1Y 0TA","SME","","130","Administration",""
"22","Defra","JNCC",2013-02-28,"CONTRACTED OUT CONSERVATION SERVICES","Surveillance and monitoring","BRITISH TRUST FOR ORNITHOLOGY","7659",106583.5,"Monitoring of birds and the environment","IP24 2PU","SME","A09-0056-0259","100","Administration",""
"23","Defra","JNCC",2013-02-28,"COMPUTER EQUIPMENT MAINTENANCE","Marine monitoring & mapping","ESRI (UK) LTD","7676",27425.61,"ARC GIS (Geographical Information System) software maintenance contract","HP21 7QG","SME","C12-0235-0653","72","Marine ecosystem assessment & advice",""
"24","Defra","JNCC",2013-02-12,"AIR TRAVEL - UK","Governance & Corporate Services","REDFERN TRAVEL LTD                                          ","Redfern Travel Statement Jan 13/050063",33392.42,"Travel and accommodation costs February 2013","BD1 3AZ","SME","","130","Administration",""
"25","Defra","Cefas",2013-02-07,"VAT Settlement","Corporate","DEFRA RECEIPTS","20041905",402471.18,"VAT Payment Quarter 3","Y01 7PX","STAN","","50013","Corporate",""
"26","Defra","Cefas",2013-02-07,"Hardware (non capital)","Corporate","Alpha Digital Solutions Ltd","20042004",42274.8,"51 standard laptops - replacements for PCs as part of renewal process","S41 9FG","STANSME","","74205","Corporate",""
"27","Defra","Cefas",2013-02-07,"Assets Under Construction","Aquatic Health & Hygiene","LEICA MICROSYSTEMS (UK) LTD","20040979",51266.16,"Microscope carrier and stereo microscope","MK5 8LB","STAN","","66401","Aquatic Health & Hygiene",""
