"","Permanent Secretary","Month of meeting","Name of External Organisation","Purpose of meeting"
"1","Lin Homer","February","Institute for Government","Routine stakeholder engagement"
"2","Lin Homer","February","Hitachi","To discuss rail issues"
"3","Lin Homer","March","Transport for London","Introductory meeting"
"4","Lin Homer","March","Network Rail","Introductory meeting"
"5","Lin Homer","March","Centro (West Midlands Passenger Transport Executive)","Introductory meeting"
"6","Lin Homer","March","Manchester Airports Group","Introductory meeting"
"7","Lin Homer","March","Eurostar","Introductory meeting"
"8","Lin Homer","March","Confederation of British Industry","Introductory meeting"
"9","Lin Homer","March","Serco","Introductory meeting"
"10","Lin Homer","March","Abellio","Introductory meeting"
"11","Lin Homer","March","Crossrail Ltd","Introductory meeting"
"12","Lin Homer","March","Transport Times","Introductory meeting"
"13","Lin Homer","March","Virgin Trains","Introductory meeting"
