"","Department","Date","Expense Type","Expense Area","Supplier","Transaction Number","Amount"
"1","NHS Telford & Wrekin",2012-03-28,"Purchase of Healthcare - Community Health Services","Commissioning","Oakengates Medical Practice","1 23.3.12",30200
"2","NHS Telford & Wrekin",2012-03-28,"Purchase of Healthcare - Community Health Services","Public Health","MIND","100324",30000
"3","NHS Telford & Wrekin",2012-03-23,"Pathology From Other NHS Bodies","Commissioning","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","10051545",30987.43
"4","NHS Telford & Wrekin",2012-03-23,"Drugs","Commissioning","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","10063220",32935.24
"5","NHS Telford & Wrekin",2012-03-23,"Drugs","Commissioning","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","10064027",53445.8
"6","NHS Telford & Wrekin",2012-03-23,"Purchase of Healthcare- General And Acute","Commissioning","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","10064560",1511607
"7","NHS Telford & Wrekin",2012-03-23,"Purchase of Healthcare- General And Acute","Commissioning","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","10064562",250000
"8","NHS Telford & Wrekin",2012-03-28,"Revenue Grant","Commissioning","TELFORD & WREKIN CVS","11484",12844.5
"9","NHS Telford & Wrekin",2012-03-28,"Revenue Grant","Commissioning","TELFORD & WREKIN CVS","11484",12844.5
"10","NHS Telford & Wrekin",2012-03-22,"Purchase of Healthcare- Mental Health","Commissioning","RITE SOCIAL ENTERPRISES LTD","12/100102",110000
"11","NHS Telford & Wrekin",2012-03-22,"Out of Hours Medical Provision","Commissioning","SHROPSHIRE DOCTORS CO-OP LTD","1346",144606.99
"12","NHS Telford & Wrekin",2012-03-28,"Purchase of Healthcare- General And Acute","Commissioning","Shropshire Partners In Care","14407",125000
"13","NHS Telford & Wrekin",2012-03-23,"Purchase of Healthcare- General And Acute","Commissioning","BIRMINGHAM CHILDRENS HOSPITAL NHS FOUNDATION TRUST","15654092",82897
"14","NHS Telford & Wrekin",2012-03-23,"Purchase of Healthcare- General And Acute","Commissioning","BIRMINGHAM CHILDRENS HOSPITAL NHS FOUNDATION TRUST","15655132",25223
"15","NHS Telford & Wrekin",2012-03-28,"Purchase of Healthcare- General And Acute","Commissioning","BRITISH PREGNANCY ADVISORY SERVICE","18580",53690
"16","NHS Telford & Wrekin",2012-03-23,"Purchase of Healthcare- General And Acute","Commissioning","ROBERT JONES AND AGNES HUNT NHS FT","20049221",2e+05
"17","NHS Telford & Wrekin",2012-03-28,"LINks For Patient Reference Group","Corporate","AGE CONCERN","278",30000
"18","NHS Telford & Wrekin",2012-03-28,"Purchase of Healthcare - Community Health Services","Commissioning","AGE CONCERN","282",30000
