"","Department family","Entity","Date","Expense Type","Expense area","Supplier","Transaction number","AP Amount (<U+00A3>)","VAT registration number","Purchase invoice number"
"1","Department of Health","NHS Bury CCG",2013-09-30,"Hcare Srv Rec Fdtn Trust-Contract Variation","CHILD AND ADOLESCENT MENTAL HEALTH","PENNINE CARE NHS FOUNDATION TRUST",1067727,31000,NA,"1010001222"
"2","Department of Health","NHS Bury CCG",2013-09-30,"Clinical&Medical-Independent Sector","ACUTE COMMISSIONING","BMI HEALTHCARE COLLECTIONS",1067848,-27215.11,NA,"17329"
"3","Department of Health","NHS Bury CCG",2013-09-30,"Hcare Srv Rec Fdtn Trust-Contract Baseline","ACUTE COMMISSIONING","SALFORD ROYAL NHS FOUNDATION TRUST",1068066,510711,NA,"1000142934"
"4","Department of Health","NHS Bury CCG",2013-09-30,"Cont Care-Physical Disab (<65)","CHC ADULT FULLY FUNDED","HIGHBANK PRIORY",1079329,25153.09,NA,"1100003972"
"5","Department of Health","NHS Bury CCG",2013-09-30,"Hcare Srv Rec Fdtn Trust-Non Contract","ACUTE COMMISSIONING","SALFORD ROYAL NHS FOUNDATION TRUST",1087549,162626,NA,"1000140839"
"6","Department of Health","NHS Bury CCG",2013-09-30,"Hcare Srv Rec Fdtn Trust-Contract Baseline","ACUTE COMMISSIONING","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST",1087772,136411,NA,"305442"
"7","Department of Health","NHS Bury CCG",2013-09-30,"Hcare Srv Rec Fdtn Trust-Contract Baseline","MENTAL HEALTH CONTRACTS","GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST",1087990,70107.03,NA,"15407"
"8","Department of Health","NHS Bury CCG",2013-09-30,"Hcare Srv Rec NHS Trust-Contract Baseline","ACUTE COMMISSIONING","PENNINE ACUTE HOSPITALS NHS TRUST",1132131,6598375,NA,"101184"
"9","Department of Health","NHS Bury CCG",2013-09-30,"Hcare Srv Rec Fdtn Trust-Contract Baseline","ACUTE COMMISSIONING","WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST",1132385,60218,NA,"2110003919"
"10","Department of Health","NHS Bury CCG",2013-09-30,"Hcare Srv Rec Fdtn Trust-Over/ Under Performance","ACUTE COMMISSIONING","WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST",1132579,53158,NA,"2110004013"
"11","Department of Health","NHS Bury CCG",2013-09-30,"Hcare Srv Rec Fdtn Trust-Contract Baseline","ACUTE COMMISSIONING","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1144749,621933,NA,"213906"
"12","Department of Health","NHS Bury CCG",2013-09-30,"Hcare Srv Rec Fdtn Trust-Contract Baseline","ACUTE COMMISSIONING","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1144822,-65260,NA,"924444"
"13","Department of Health","NHS Bury CCG",2013-09-30,"Hcare Srv Rec NHS Trust","MENTAL HEALTH CONTRACTS","MANCHESTER MENTAL HEALTH AND SOCIAL CARE TRUST",1144905,25798.07,NA,"5110000456"
"14","Department of Health","NHS Bury CCG",2013-09-30,"Clinical&Medical-Independent Sector","ACUTE COMMISSIONING","BMI HEALTHCARE COLLECTIONS",1144923,46641.67,NA,"17896"
"15","Department of Health","NHS Bury CCG",2013-09-30,"Clinical&Medical-Independent Sector","OUT OF HOURS","BARDOC",1144996,108821.66,NA,"2596"
"16","Department of Health","NHS Bury CCG",2013-09-30,"Hcare Srv Rec Fdtn Trust-Contract Baseline","ACUTE COMMISSIONING","ROYAL BOLTON HOSPITAL NHS FOUNDATION TRUST",1145034,684460,NA,"1013898"
"17","Department of Health","NHS Bury CCG",2013-09-30,"Hcare Srv Rec Fdtn Trust-Contract Baseline","MENTAL HEALTH CONTRACTS","PENNINE CARE NHS FOUNDATION TRUST",1145087,1324495,NA,"1010001465"
"18","Department of Health","NHS Bury CCG",2013-09-30,"Hcare Srv Rec Fdtn Trust-Contract Baseline","COMMUNITY SERVICES","PENNINE CARE NHS FOUNDATION TRUST",1145098,1586819,NA,"1010001477"
"19","Department of Health","NHS Bury CCG",2013-09-30,"Hcare Srv Rec Fdtn Trust-CQUIN","COMMUNITY SERVICES","PENNINE CARE NHS FOUNDATION TRUST",1145098,19835,NA,"1010001477"
"20","Department of Health","NHS Bury CCG",2013-09-30,"Cont Care-Mental Health (<65)","MENTAL HEALTH SERVICES - ADULTS","CYGNET HOSPITAL WYKE",1168085,21979,NA,"WKE1968"
"21","Department of Health","NHS Bury CCG",2013-09-30,"Charges from CSU","NON RECURRENT PROGRAMMES","NHS GREATER MANCHESTER CSU",1194630,93707,NA,"7300000299"
"22","Department of Health","NHS Bury CCG",2013-09-30,"Clinical&Medical-Independent Sector","ACUTE COMMISSIONING","OAKLANDS HOSPITAL",1194731,34433.77,NA,"1050913"
"23","Department of Health","NHS Bury CCG",2013-09-30,"Charges from CSU","COMMISSIONING","NHS GREATER MANCHESTER CSU",1194740,48081,NA,"7300000338"
"24","Department of Health","NHS Bury CCG",2013-09-30,"Charges from CSU","COMMUNICATIONS & PR","NHS GREATER MANCHESTER CSU",1194740,8990,NA,"7300000338"
"25","Department of Health","NHS Bury CCG",2013-09-30,"Charges from CSU","CORPORATE COSTS & SERVICES","NHS GREATER MANCHESTER CSU",1194740,1842,NA,"7300000338"
"26","Department of Health","NHS Bury CCG",2013-09-30,"Charges from CSU","CORPORATE GOVERNANCE","NHS GREATER MANCHESTER CSU",1194740,3810,NA,"7300000338"
"27","Department of Health","NHS Bury CCG",2013-09-30,"Charges from CSU","EQUALITY AND DIVERSITY","NHS GREATER MANCHESTER CSU",1194740,2160,NA,"7300000338"
"28","Department of Health","NHS Bury CCG",2013-09-30,"Charges from CSU","FINANCE","NHS GREATER MANCHESTER CSU",1194740,88416,NA,"7300000338"
"29","Department of Health","NHS Bury CCG",2013-09-30,"Charges from CSU","HUMAN RESOURCES","NHS GREATER MANCHESTER CSU",1194740,5701,NA,"7300000338"
"30","Department of Health","NHS Bury CCG",2013-09-30,"Charges from CSU","IM&T","NHS GREATER MANCHESTER CSU",1194740,22829.47,NA,"7300000338"
"31","Department of Health","NHS Bury CCG",2013-09-30,"Charges from CSU","MEDICINES MANAGEMENT","NHS GREATER MANCHESTER CSU",1194740,5440,NA,"7300000338"
"32","Department of Health","NHS Bury CCG",2013-09-30,"Charges from CSU","PATIENT AND PUBLIC INVOLVEMENT","NHS GREATER MANCHESTER CSU",1194740,4701,NA,"7300000338"
"33","Department of Health","NHS Bury CCG",2013-09-30,"Charges from CSU","PROGRAMME PROJECTS","NHS GREATER MANCHESTER CSU",1194740,66838.53,NA,"7300000338"
"34","Department of Health","NHS Bury CCG",2013-09-30,"Cont Care-Physical Disab (65+)","CHC ADULT FULLY FUNDED","AINSWORTH NURSING HOME",1248177,12365.3,NA,"1715"
"35","Department of Health","NHS Bury CCG",2013-09-30,"Cont Care-Mental Health (65+)","CHC ADULT FULLY FUNDED","AINSWORTH NURSING HOME",1248177,11571.47,NA,"1715"
"36","Department of Health","NHS Bury CCG",2013-09-30,"Cont Care-Physical Disab (65+)","CHC ADULT FULLY FUNDED","GORSEY CLOUGH",1264101,7071.4,NA,"01092013CHC"
"37","Department of Health","NHS Bury CCG",2013-09-30,"Cont Care-Mental Health (<65)","CHC ADULT FULLY FUNDED","GORSEY CLOUGH",1264101,2357.14,NA,"01092013CHC"
"38","Department of Health","NHS Bury CCG",2013-09-30,"Cont Care-Mental Health (65+)","CHC ADULT FULLY FUNDED","GORSEY CLOUGH",1264101,17016,NA,"01092013CHC"
"39","Department of Health","NHS Bury CCG",2013-09-30,"Clinical&Medical-Independent Sector","AMBULANCE SERVICES","ARRIVA TRANSPORT SOLUTIONS LTD",1264272,87499.13,NA,"1000820"
"40","Department of Health","NHS Bury CCG",2013-09-30,"Clinical&Medical-Voluntary Sector","ACUTE ELDERLY SERVICES","BURY HOSPICE",1277479,76386,7926,"2127"
"41","Department of Health","NHS Bury CCG",2013-09-30,"Clinical&Medical-Independent Sector","ACUTE COMMISSIONING","BMI HEALTHCARE COLLECTIONS",1277727,-32175.58,NA,"18024"
"42","Department of Health","NHS Bury CCG",2013-09-30,"Cont Care-Learning Disab(<65)","CHC ADULT JOINT FUNDED","PRIORY EDUCATION SERVICES",1289094,42490.16,NA,"7580000045B"
"43","Department of Health","NHS Bury CCG",2013-09-30,"Staff Benefit Expenses","CORPORATE COSTS & SERVICES","TAMESIDE HOSPITAL NHS FOUNDATION TRUST",1289139,54318,NA,"3110001219"
"44","Department of Health","NHS Bury CCG",2013-09-30,"Clinical&Medical-Independent Sector","LEARNING DIFFICULTIES","MACINTYRE CARE",1289342,28005.3,NA,"SINV00075642"
"45","Department of Health","NHS Bury CCG",2013-09-30,"Hcare Srv Rec Fdtn Trust-Contract Baseline","MENTAL HEALTH CONTRACTS","GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST",1289653,70792.95,NA,"15547"
