"","Type ","Date ","Country ","Accomodation ","Transportation ","Interpretation ","Hospitality","Total "
"1","Guest of Government ","30 April  - 5 May 2014","Pakistan ",-1.61462218491716e+197,6173.94,NA,NA,29073.94
"2","Guest of Government ","30 - 2 May 2014","Japan",5.17689969050267e-33,1740.04,1.78263365657747e+28,NA,5884.15
"3","Guest of Government ","16 - 18 June 2014","China ",8.1334625741601e-149,3970.48,-3.7857669957476e-270,NA,30730.3
"4","Guest of Government ","11  - 13 September 2014","China ",2.46006311447178e+260,5390.45,6.327690473166e-316,NA,18354.83
"5","Guest of Government ","26 - 30 October 2014","Qatar",6.32769012732004e-316,1839.17,NA,NA,3020.67
"6","Guest of Government ","27 - 28 October 2014","Egypt ",NA,1927.67,NA,NA,1927.67
"7","Guest of Government ","4  - 6 December 2014","Afghanistan",6.32769338815331e-316,3560.82,NA,NA,24791.68
"8","Guest of Government ","9-11 December 2014","Algeria ",NA,2295.88,NA,NA,2295.88
"9","Guest of Government ","11 - 12 December  2014","Germany ",-1.94064761538302e+230,2404.64,NA,NA,5530.74
"10","Guest of Government ","8-10 February 2015","Mexico",6.32769175773667e-316,2954.78,NA,NA,8058.53
"11","Guest of Government ","07-Jan-15","Germany ",NA,1999.97,NA,NA,1999.97
"12","State Visit","20 - 24 October 2014","Singapore ",-2.7802445000724e+65,50921.17,NA,2.33294864950921e+271,158356.92
"13","State Visit","8 - 11 April 2014","Ireland ",2.37330514235545e-259,53249.64,NA,-4287051114696.12,170543.99
