"","Department Family","Entity","Date","Expense Type","Expense Area","Supplier","Transaction Number","AP Amount","VAT Registration Number","Purchase Invoice Number"
"1","Department of Health","Wiltshire PCT",2011-11-01,"PMSDES Minor Surgery","Services for Primary Care","DR CA SEARS & PARTNERS",97770,47930,"","1881"
"2","Department of Health","Wiltshire PCT",2011-11-01,"Commissioning Learn Diff","Oxfordshire LD (RHX)","OXFORDSHIRE LEARNING DISABILITY NHS TRUST",97839,68530.66,"","9547"
"3","Department of Health","Wiltshire PCT",2011-11-01,"Commissioning Gen/Acute","GWH FT (RN3)","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",97841,3182800.44,"","16924710"
"4","Department of Health","Wiltshire PCT",2011-11-01,"Commissioning CHC","GWH (WCHS) (RN3)","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",97842,4984649,"","16924702"
"5","Department of Health","Wiltshire PCT",2011-11-03,"Commissioning Gen/Acute","BMI Healthcare Ltd","BMI HEALTHCARE COLLECTIONS",102790,28993.61,"","5QKBTH1108NCA"
"6","Department of Health","Wiltshire PCT",2011-11-03,"Commissioning Gen/Acute","SUHT (RHM)","SOUTHAMPTON UNIVERSITY HOSPITALS NHS TRUST",102806,823374,"","7193941"
"7","Department of Health","Wiltshire PCT",2011-11-05,"PFI Fin Liab FVTPL Currnt","BALANCE SHEET","MARLBOROUGH FACILITIES LTD",105176,9867.64,"","M00428"
"8","Department of Health","Wiltshire PCT",2011-11-05,"Interest Payable - PFI","Savernake PFI","MARLBOROUGH FACILITIES LTD",105176,45491.33,"","M00428"
"9","Department of Health","Wiltshire PCT",2011-11-05,"Rent","Savernake PFI","MARLBOROUGH FACILITIES LTD",105176,38433.11,"","M00428"
"10","Department of Health","Wiltshire PCT",2011-11-05,"Commissioning Gen/Acute","Poole Hospitals FT (RD3)","POOLE HOSPITAL NHS FOUNDATION TRUST",105182,38841,"","P0125493"
"11","Department of Health","Wiltshire PCT",2011-11-05,"APMS OOH Dev Fund","WMS Out of Hours Service","WILTSHIRE MEDICAL SERVICES",105183,571156.67,"","100029-02-NOV-2011"
"12","Department of Health","Wiltshire PCT",2011-11-05,"Rates","Southgate House Admin","WILTSHIRE COUNTY COUNCIL",105184,25548,"","100030-02-NOV-2011"
"13","Department of Health","Wiltshire PCT",2011-11-08,"Commissioning Gen/Acute","GWH FT (RN3)","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",108882,3182800.44,"","16925392"
"14","Department of Health","Wiltshire PCT",2011-11-09,"Commissioning Gen/Acute","Salisbury FT (RNZ)","SALISBURY NHS FOUNDATION TRUST",110403,7708333,"","B007915"
"15","Department of Health","Wiltshire PCT",2011-11-09,"Commissioning Gen/Acute","Bristol PCT - Spec Comm","BRISTOL PCT",110478,3673609,"","5586987"
"16","Department of Health","Wiltshire PCT",2011-11-09,"Commissioning Gen/Acute","North Bristol Trust (RVJ)","NORTH BRISTOL NHS TRUST",110507,260136,"","260402"
"17","Department of Health","Wiltshire PCT",2011-11-09,"Commissioning Gen/Acute","RNHRD (RBB)","ROYAL NATIONAL HOSPITAL FOR RHEUMATIC DISEASES NHS FOUNDATION TRUST",110525,292229.52,"","8740737"
"18","Department of Health","Wiltshire PCT",2011-11-09,"SrvcsRecd-FoundationTrust","Director of Finance","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",110530,17126.8,"","16925428"
"19","Department of Health","Wiltshire PCT",2011-11-09,"Commissioning CHC","GWH (WCHS) (RN3)","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",110530,4049882.15,"","16925428"
"20","Department of Health","Wiltshire PCT",2011-11-09,"Commissioning Maternity","GWH (WCHS) (RN3)","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",110530,810716.35,"","16925428"
"21","Department of Health","Wiltshire PCT",2011-11-09,"Commissioning CHC","PH - HEALTH + WELLBEING","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",110530,25000,"","16925428"
"22","Department of Health","Wiltshire PCT",2011-11-09,"Commissioning CHC","PH - Health Improvement","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",110530,24543.7,"","16925428"
"23","Department of Health","Wiltshire PCT",2011-11-09,"Commissioning CHC","Placements - Child","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",110530,57380,"","16925428"
"24","Department of Health","Wiltshire PCT",2011-11-09,"Commissioning Gen/Acute","RUH (RD1)","ROYAL UNITED HOSPITAL BATH NHS TRUST",110531,5892642,"","10303109"
"25","Department of Health","Wiltshire PCT",2011-11-09,"Commissioning Gen/Acute","Gloucestershire FT (RTE)","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",110533,84167,"","1005642"
"26","Department of Health","Wiltshire PCT",2011-11-10,"Ambulance Services","Great Western Amb (RX5)","GREAT WESTERN AMBULANCE SERVICE NHS TRUST",111698,1239667,"","A010548"
"27","Department of Health","Wiltshire PCT",2011-11-14,"Commissioning Gen/Acute","Uni Hsp Bristol FT (RA7)","UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",115087,609810,"","R0000403"
"28","Department of Health","Wiltshire PCT",2011-11-14,"PFI Fin Liab FVTPL Currnt","BALANCE SHEET","MARLBOROUGH FACILITIES LTD",115088,9867.64,"","M00432"
"29","Department of Health","Wiltshire PCT",2011-11-14,"Interest Payable - PFI","Savernake PFI","MARLBOROUGH FACILITIES LTD",115088,45491.33,"","M00432"
"30","Department of Health","Wiltshire PCT",2011-11-14,"Rent","Savernake PFI","MARLBOROUGH FACILITIES LTD",115088,38433.11,"","M00432"
"31","Department of Health","Wiltshire PCT",2011-11-14,"Commissioning Gen/Acute","Oxford Radcliffe (RTH)","OXFORD RADCLIFFE HOSPITALS NHS TRUST",115089,220833,"","8134848"
"32","Department of Health","Wiltshire PCT",2011-11-14,"Commissioning M Health","AWP (RVN)","AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST",115092,2561667,"","T0007530"
"33","Department of Health","Wiltshire PCT",2011-11-14,"Commissioning M Health","OXFORD + BUCK MH FT (RNU)","OXFORD HEALTH NHS FOUNDATION TRUST",115095,48833.36,"","A0070451"
"34","Department of Health","Wiltshire PCT",2011-11-14,"Commissioning M Health","OXFORD + BUCK MH FT (RNU)","OXFORD HEALTH NHS FOUNDATION TRUST",115096,359583.33,"","A0070452"
"35","Department of Health","Wiltshire PCT",2011-11-14,"Commissioning M Health","AWP (RVN)","AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST",115110,95833,"","T0007544"
"36","Department of Health","Wiltshire PCT",2011-11-16,"Commissioning Gen/Acute","Circle Health","CIRCLE HOSPITAL (BATH) LTD",118171,144936.13,"","100308"
"37","Department of Health","Wiltshire PCT",2011-11-16,"Commissioning M Health","OXFORD + BUCK MH FT (RNU)","OXFORD HEALTH NHS FOUNDATION TRUST",118199,48833.36,"","A0070002"
"38","Department of Health","Wiltshire PCT",2011-11-16,"Commissioning M Health","OXFORD + BUCK MH FT (RNU)","OXFORD HEALTH NHS FOUNDATION TRUST",118200,359583.33,"","A0070003"
"39","Department of Health","Wiltshire PCT",2011-11-16,"Local Enhanced Servs GMS","Services for Primary Care","WESTERN LOCALITY",118203,54718.5,"","100048-14-NOV-2011"
"40","Department of Health","Wiltshire PCT",2011-11-16,"Local Enhanced Servs GMS","Services for Primary Care","WWYKD PBC CONSORTIUM",118204,121506.73,"","100050-14-NOV-2011"
"41","Department of Health","Wiltshire PCT",2011-11-18,"Commissioning Gen/Acute","BANES PCT (5FL)","SIRONA CARE & HEALTH CIC",122005,168117,"","10008"
"42","Department of Health","Wiltshire PCT",2011-11-18,"Secndd staff frm othr org","Child Protection","SIRONA CARE & HEALTH CIC",122005,2694,"","10008"
"43","Department of Health","Wiltshire PCT",2011-11-18,"Commissioning M Health","Placements - Adult Mental Health","SUNRISE OF CARDIFF",122016,38907.5,"","UL12113121A"
