"","Department family","Entity","Entered On","Expense Type","Expense Area","Supplier Name","Voucher","SumOfAmount"
"1","Communities And Local Government","Queen Elizabeth II Conference Centre",2011-01-10,"Cleaners & Porters","Event Management","GBM SERVICES LIMITED","12821",3361.7
"2","Communities And Local Government","Queen Elizabeth II Conference Centre",2011-01-10,"Marketing","Commercial","Marmalade On Toast","12823",500
"3","Communities And Local Government","Queen Elizabeth II Conference Centre",2011-01-10,"Marketing","Commercial","ANISEED PR LTD","12824",2000
"4","Communities And Local Government","Queen Elizabeth II Conference Centre",2011-01-10,"Agency Labour","Commercial","Poolia UK Ltd","12825",525.06
"5","Communities And Local Government","Queen Elizabeth II Conference Centre",2011-01-10,"Agency Labour","Commercial","Poolia UK Ltd","12826",487.8
"6","Communities And Local Government","Queen Elizabeth II Conference Centre",2011-01-10,"Agency Labour","Commercial","Poolia UK Ltd","12827",487.8
"7","Communities And Local Government","Queen Elizabeth II Conference Centre",2011-01-10,"Maintenance","Operations","GROSVENOR CONTRACTS (LONDON) L","12828",1441.7
"8","Communities And Local Government","Queen Elizabeth II Conference Centre",2011-01-10,"Disposal Of Waste","Operations","BYWATERS (LEYTON) LTD","12830",450.08
"9","Communities And Local Government","Queen Elizabeth II Conference Centre",2011-01-10,"Cost of Sales - Freelance Technicians","Interface","GARETH BUTLER","12840",600
"10","Communities And Local Government","Queen Elizabeth II Conference Centre",2011-01-10,"Marketing","Commercial","VOHM","12844",500
"11","Communities And Local Government","Queen Elizabeth II Conference Centre",2011-01-10,"Cost of Sales - Telecommunications","ITC Department","BRITISH TELECOM","12846",469.4
"12","Communities And Local Government","Queen Elizabeth II Conference Centre",2011-01-10,"Cost of Sales - Commission","Commercial","Grayling Live","12848",1214.4
"13","Communities And Local Government","Queen Elizabeth II Conference Centre",2011-01-10,"Internet & Telecomms","ITC Department","VERIZON UK LIMITED","12850",1852
"14","Communities And Local Government","Queen Elizabeth II Conference Centre",2011-01-10,"Marketing","Commercial","VERIZON UK LIMITED","12850",1.09
"15","Communities And Local Government","Queen Elizabeth II Conference Centre",2011-01-11,"Water","Operations","THAMES WATER UTILITIES LTD","12851",546.05
"16","Communities And Local Government","Queen Elizabeth II Conference Centre",2011-01-11,"Electricity","Operations","EDF ENERGY","12852",32352.19
"17","Communities And Local Government","Queen Elizabeth II Conference Centre",2011-01-11,"Cost of Sales - Equipment Hire","Interface","BARCLAYCARD PROCUREMENT CARD","12854",9.95
"18","Communities And Local Government","Queen Elizabeth II Conference Centre",2011-01-11,"Training","Administration","BARCLAYCARD PROCUREMENT CARD","12854",202
