"","Department","Entity","Date","Expense Type","Expense Area","Supplier ","Transaction Number","Amount","Description","Supplier Postcode","Supplier Type","Contract Number","Project Code","Expenditure Type","Vat Registration Num"
"1","DEFRA","APHA",2015-01-15,"Service Level Agreement Costs","Chief Operating Officer DG","Joint Nature Conservation Committee","SIJ844",46632.05,"Service Level Agreement providing advice for CITES, the Convention on International Trade in Endangered Species of Wild Fauna and Flora, certification. ","PE1 1JY","SME","","JNCCXXXX","Expense",""
"2","DEFRA","APHA",2015-01-27,"Work package/WPO Implementation","Chief Operating Officer DG","IBM United Kingdom Ltd","5812140713",129392.91,"Business Reform Programme Training and Simulation Environment - December 2014","GU1 2LD","SME","","BRP00248","Expense",""
"3","DEFRA","APHA",2015-01-09,"Subsistence - UK","","Barcelo Hinckley Island Hotel","041214",44392,"Deposit for accommodation and conference facilities for the annual three day Plant Health Technical Conference held in Leicestershire for Inspectors based nationwide.","LE10 3JA","","","00000000","Expense",""
"4","DEFRA","APHA",2015-01-26,"LVI Claims","Chief Operating Officer DG","XL FARMCARE MIDLANDS LTD~114213469","LVI164917",119568.24,"Payment to veterinary practice for services provided in an official capacity on behalf of Animal and Plant Health Agency","ST14 8EB","SME","","00000000","Expense",""
"5","DEFRA","APHA",2015-01-26,"LVI Claims","Chief Operating Officer DG","XL FARMCARE WESSEX LIMITED~172798072","LVI165021",90207.77,"Payment to veterinary practice for services provided in an official capacity on behalf of Animal and Plant Health Agency","ST15 8NA","SME","","00000000","Expense",""
"6","DEFRA","APHA",2015-01-26,"LVI Claims","Chief Operating Officer DG","XL FARMCARE DEVON AND CORNWALL LTD~179923008","LVI165031",59315.51,"Payment to veterinary practice for services provided in an official capacity on behalf of Animal and Plant Health Agency","ST15 8NA","SME","","00000000","Expense",""
"7","DEFRA","APHA",2015-01-27,"Work package/WPO Implementation","Chief Operating Officer DG","IBM United Kingdom Ltd","5812141212",262494.68,"International Business Machines Onboarding Single Business Case - December 2014 ","GU1 2LD","SME","","TAC00251","Expense",""
"8","DEFRA","APHA",2015-01-09,"GPC Card","Central Finance Group","Barclaycard Business Issuing","4715320649058286311214",66518.76,"Purchases made through the Government Procurement Card - December 2014","TS17 6YG","SME","","00000000","Asset",""
"9","DEFRA","APHA",2015-01-06,"Hard charges","Chief Operating Officer DG","Defra C/o Capita","1002544353",439750.91,"Core Facilities Management costs at Weybridge - November 2014","EC2V 7NQ","","","HARDFVLA","Expense",""
"10","DEFRA","APHA",2015-01-21,"Sub Contracted Services","","L G C Limited","50367098",74888.4,"Transmissible spongiform encephalopathy (TSE) samples - December 2014","TW11 0LY","SME","","TSTS5902","Expense",""
"11","DEFRA","APHA",2015-01-21,"Health Screening","","Health Management Ltd","0000124250",40509.72,"Occupational Health Services monthly retainer and additional charges for online referrals - August-December 2014 ","BN8 5NN","SME","","00000000","Expense",""
"12","DEFRA","APHA",2015-01-26,"LVI Claims","Chief Operating Officer DG","XL FARMCARE NORTH LTD. ~175942866","LVI165025",100168.76,"Payment to veterinary practice for services provided in an official capacity on behalf of Animal and Plant Health Agency","ST15 8NA","","","00000000","Expense",""
