"","Department family","Entity","Date of payment","Expense type","Expense area","Supplier","Transaction number","Amount in Sterling","Supplier VAT Registration Number"
"1","Department for Business, Innovation & Skills","Advantage West Midlands",2010-11-04,"Overseas Costs","Economic Development Directorate","ROI RESEARCH ON INVESTMENT INC",146881,27004.28,"0"
"2","Department for Business, Innovation & Skills","Advantage West Midlands",2010-11-23,"Single Pot - Revenue","Economic Development Directorate","WEST MIDLANDS MAN CONSORTIUM LTD (ERDF)",147135,26576.65,"0"
"3","Department for Business, Innovation & Skills","Advantage West Midlands",2010-11-17,"Single Pot - Revenue","Economic Development Directorate","WEST MIDLANDS MANUFACTURING CONSORTIUM",147136,39104.03,"0"
"4","Department for Business, Innovation & Skills","Advantage West Midlands",2010-11-17,"Single Pot - Revenue","Economic Development Directorate","WEST MIDLANDS BUSINESS REPRESENTATION LLP",147127,65205.28,"0"
"5","Department for Business, Innovation & Skills","Advantage West Midlands",2010-11-17,"Single Pot - Revenue","Economic Development Directorate","WEST MIDLANDS MANUFACTURING CONSORTIUM",147131,66400.89,"0"
"6","Department for Business, Innovation & Skills","Advantage West Midlands",2010-11-16,"Single Pot - Revenue","Economic Development Directorate","West MIdlands Brokerage Services ltd",147167,124089.76,"0"
"7","Department for Business, Innovation & Skills","Advantage West Midlands",2010-11-18,"Single Pot - Revenue","Economic Development Directorate","WEST MIDLANDS MANUFACTURING CONSORTIUM LTD",147170,236810.76,"0"
"8","Department for Business, Innovation & Skills","Advantage West Midlands",2010-11-18,"Single Pot - Revenue","Economic Development Directorate","West MIdlands Brokerage Services ltd",147168,1130613.19,"0"
"9","Department for Business, Innovation & Skills","Advantage West Midlands",2010-11-11,"AWM Development Asset Spend","Economic Regenration Directorate","CENTRAL NETWORKS",146909,765737.13,"0"
"10","Department for Business, Innovation & Skills","Advantage West Midlands",2010-11-24,"ERDF - CAPITAL EXPENDITURE","Resources Directorate","COVENTRY & WARWICKSHIRE RE-INVESTMENT TRUST",146653,25438.51,"0"
"11","Department for Business, Innovation & Skills","Advantage West Midlands",2010-11-25,"ERDF - CAPITAL EXPENDITURE","Resources Directorate","ART (ASTON REINVESTMENT TRUST)",146532,30176,"0"
"12","Department for Business, Innovation & Skills","Advantage West Midlands",2010-11-22,"ERDF - CAPITAL EXPENDITURE","Resources Directorate","THE PRINCES TRUST",146415,31500,"0"
"13","Department for Business, Innovation & Skills","Advantage West Midlands",2010-11-25,"ERDF - CAPITAL EXPENDITURE","Resources Directorate","UNIVERSITY OF WARWICK",145916,36247.96,"0"
"14","Department for Business, Innovation & Skills","Advantage West Midlands",2010-11-25,"ERDF - CAPITAL EXPENDITURE","Resources Directorate","UNIVERSITY OF WARWICK",145387,90421.09,"0"
"15","Department for Business, Innovation & Skills","Advantage West Midlands",2010-11-26,"ERDF - CAPITAL EXPENDITURE","Resources Directorate","MIDVEN LIMITED",147346,5e+05,"0"
"16","Department for Business, Innovation & Skills","Advantage West Midlands",2010-11-26,"ERDF - CAPITAL EXPENDITURE","Resources Directorate","MIDVEN LIMITED",147348,5e+05,"0"
"17","Department for Business, Innovation & Skills","Advantage West Midlands",2010-11-09,"ERDF - REVENUE EXPENDITURE","Resources Directorate","COVENTRY UNIVERSITY ENTERPRISES LTD",4352,-34278.13,"0"
"18","Department for Business, Innovation & Skills","Advantage West Midlands",2010-11-26,"ERDF - REVENUE EXPENDITURE","Resources Directorate","WOLVERHAMPTON UNIVERSITY",145894,27373.39,"0"
