"","Department family","Entity","Date","Expense Type","Expense area","Supplier","Transaction number","AP Amount (<U+00A3>)"
"1","Department of Health","NHS Hastings & Rother CCG",2013-05-31,"Clinical&Medical-Commercial Sector","ACUTE COMMISSIONING","SPIRE HEALTHCARE LTD",217999,83998
"2","Department of Health","NHS Hastings & Rother CCG",2013-05-31,"Hcare Srv Rec NHS Trust-Contract Baseline","ACUTE COMMISSIONING","MAIDSTONE&TUNBRIDGE WELLS NHS TRUST",229917,80910.67
"3","Department of Health","NHS Hastings & Rother CCG",2013-05-31,"Hcare Srv Rec NHS Trust-CQUIN","ACUTE COMMISSIONING","SUSSEX COMMUNITY NHS TRUST",254392,740.03
"4","Department of Health","NHS Hastings & Rother CCG",2013-05-31,"Hcare Srv Rec NHS Trust-Contract Baseline","ACUTE COMMISSIONING","SUSSEX COMMUNITY NHS TRUST",254392,29599.8
"5","Department of Health","NHS Hastings & Rother CCG",2013-05-31,"Hcare Srv Rec Fdtn Trust-CQUIN","ACUTE COMMISSIONING","GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST",271606,1149.28
"6","Department of Health","NHS Hastings & Rother CCG",2013-05-31,"Hcare Srv Rec Fdtn Trust-Contract Baseline","ACUTE COMMISSIONING","GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST",271606,91915.72
"7","Department of Health","NHS Hastings & Rother CCG",2013-05-31,"Hcare Srv Rec NHS Trust-CQUIN","ACUTE COMMISSIONING","KENT COMMUNITY HEALTH NHS TRUST",271609,1753.68
"8","Department of Health","NHS Hastings & Rother CCG",2013-05-31,"Hcare Srv Rec NHS Trust-Contract Baseline","ACUTE COMMISSIONING","KENT COMMUNITY HEALTH NHS TRUST",271609,140294.24
"9","Department of Health","NHS Hastings & Rother CCG",2013-05-31,"Hcare Srv Rec Fdtn Trust-CQUIN","ACUTE COMMISSIONING","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",271644,594.48
"10","Department of Health","NHS Hastings & Rother CCG",2013-05-31,"Hcare Srv Rec Fdtn Trust-Contract Baseline","ACUTE COMMISSIONING","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",271644,47558.52
"11","Department of Health","NHS Hastings & Rother CCG",2013-05-31,"Hcare Srv Rec Fdtn Trust-CQUIN","ACUTE COMMISSIONING","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",271648,587.22
"12","Department of Health","NHS Hastings & Rother CCG",2013-05-31,"Hcare Srv Rec Fdtn Trust-Contract Baseline","ACUTE COMMISSIONING","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",271648,46977.78
"13","Department of Health","NHS Hastings & Rother CCG",2013-05-31,"Hcare Srv Rec Fdtn Trust-Contract Baseline","ACUTE COMMISSIONING","GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST",271693,91915.72
"14","Department of Health","NHS Hastings & Rother CCG",2013-05-31,"Hcare Srv Rec Fdtn Trust-CQUIN","ACUTE COMMISSIONING","GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST",271693,1149.28
"15","Department of Health","NHS Hastings & Rother CCG",2013-05-31,"Clinical&Medical-Independent Sector","ACUTE COMMISSIONING","HORDER CENTRE",271716,125424.77
