"","Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (<U+00A3>)","Payscale Maximum (<U+00A3>)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"1","Department for Environment, Food and Rural Affairs","Water Services Regulation Authority","Legal","SS5","SCS 1(< 5 reporting posts)",58200,117800,"Director - Legal",1,"Law"
"2","Department for Environment, Food and Rural Affairs","Water Services Regulation Authority","Legal","SS5","Band 5",72836,109253,"Director - Legal",0.81,"Law"
"3","Department for Environment, Food and Rural Affairs","Water Services Regulation Authority","Legal","SS5","Band 4",47618,72835,"Principal - Legal",3,"Law"
"4","Department for Environment, Food and Rural Affairs","Water Services Regulation Authority","Legal","SS5","Band 3",31763,47617,"Senior Associate - Legal",2.68,"Law"
"5","Department for Environment, Food and Rural Affairs","Water Services Regulation Authority","Legal","SS5","Band 2",22443,31762,"Associate - Legal",1,"Law"
"6","Department for Environment, Food and Rural Affairs","Water Services Regulation Authority","Analytics","SS3","Band 4",47618,72835,"Principal - Financial Modelling",2.81,"Statisticians"
"7","Department for Environment, Food and Rural Affairs","Water Services Regulation Authority","Analytics","SS3","Band 5",72836,109253,"Director - Engineer",2,"Science and Engineering"
"8","Department for Environment, Food and Rural Affairs","Water Services Regulation Authority","Analytics","SS3","Band 4",47618,72835,"Principal - Engineer",3.75,"Science and Engineering"
"9","Department for Environment, Food and Rural Affairs","Water Services Regulation Authority","Analytics","SS3","Band 3",31763,47617,"Senior Associate - Engineer",2.62,"Science and Engineering"
"10","Department for Environment, Food and Rural Affairs","Water Services Regulation Authority","Analytics","SS3","Band 5",72836,109253,"Director - Regulatory Accounts",0,"Finance"
"11","Department for Environment, Food and Rural Affairs","Water Services Regulation Authority","Analytics","SS3","Band 4",47618,72835,"Principal - Regulatory Accounts",1,"Finance"
"12","Department for Environment, Food and Rural Affairs","Water Services Regulation Authority","Analytics","SS3","Band 3",31763,47617,"Senior Associate - Regulatory Accounts",2.5,"Finance"
"13","Department for Environment, Food and Rural Affairs","Water Services Regulation Authority","Analytics","SS3","Band 2",22443,31762,"Associate - Regulatory Accounts",2,"Finance"
"14","Department for Environment, Food and Rural Affairs","Water Services Regulation Authority","Analytics","SS3","Band 5",72836,109253,"Director - Corporate Finance",0,"Finance"
"15","Department for Environment, Food and Rural Affairs","Water Services Regulation Authority","Analytics","SS3","Band 4",47618,72835,"Principal - Corporate Finance",2,"Finance"
"16","Department for Environment, Food and Rural Affairs","Water Services Regulation Authority","Analytics","SS3","Band 3",31763,47617,"Senior Associate - Corporate Finance",1,"Finance"
