"","Department","Entity","Date of Payment","Expense Type","Expense Area","Supplier","Transaction Number","Amount"
"1","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"External Training","Corporate Support & Shared Services - Corporate Support & Shared Services","BPP PROFESSIONAL EDUCATION LTD",1025365,662.65
"2","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"External Training","Corporate Support & Shared Services - Corporate Support & Shared Services","BPP PROFESSIONAL EDUCATION LTD",1025365,804.82
"3","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-13,"IT Maintenance and Management Services","National Climate Change & Consumer Support - Communications","AMEE UK LTD",4022230,9000
"4","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Cash Expenditure During the Year - British Energy","Corporate Support & Shared Services - Corporate Support & Shared Services","NUCLEAR DECOMMISSIONING AUTHORITY",4022363,4047748.12
"5","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Cash Expenditure During the Year - British Energy","Corporate Support & Shared Services - Corporate Support & Shared Services","NUCLEAR DECOMMISSIONING AUTHORITY",4022364,14922839.68
"6","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Research & Development Expenditure (Programme)","Science & Innovation Group - Science & Innovation Group","SPACE CONNEXIONS LTD",4022685,22053
"7","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Research & Development Expenditure (Programme)","Science & Innovation Group - Science & Innovation Group","SPACE CONNEXIONS LTD",4022685,60970
"8","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Grants - Current - Other","Energy Markets & Infrastructure - Security and resilience","US DEPARTMENT OF ENERGY",4022772,72364.5
"9","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Amount owed by DECC to BIS for recharged services","DECC Central Budgets - DECC Central Budgets","DEPARTMENT FOR BUSINESS INNOVATION & SKILLS",4022807,266813.13
"10","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Hire of Agency Staff (Professional/Management)","Corporate Support & Shared Services - Corporate Support & Shared Services","GREEN PARK INTERIM & EXECUTIVE LTD",4023112,7696.25
"11","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Other HR Consultancy","Corporate Support & Shared Services - Corporate Support & Shared Services","GREEN PARK INTERIM & EXECUTIVE LTD",4023112,6110
"12","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"International Subscriptions","Energy & Climate Change International - International Energy & Carbon Budgets","OECD",4023341,50000
"13","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Maintenance of IT Equipment (Programme)","Energy Markets & Infrastructure - Security and resilience","MET OFFICE",4023472,1261257
"14","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Information Facilities","Energy Markets & Infrastructure - DECC Commercial Team","STANDARD & POORS",4023699,9963.95
"15","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Cash Consolidated Fund Extra Receipts Received by BIS","Energy Markets & Infrastructure - Energy Development Unit","DEPARTMENT OF FINANCE AND PERSONNEL (NORTHERN IRELAND)",4023715,1576752.73
"16","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Outsourced Technical Support (Programme)","Science & Innovation Group - Science & Innovation Group","RISK MANAGEMENT SOLUTIONS INC",4023723,706.73
"17","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Capital Grants to Private Sector - Not Own Asset Creation","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","EAGA PLC",4023728,2955208.19
"18","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Capital Grants to Private Sector - Not Own Asset Creation","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","EAGA PLC",4023736,671466.32
"19","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"International Subscriptions","Energy & Climate Change International - International Climate Change Negotiations","INTERNATIONAL CENTRE FOR ENVIRONMENTAL TECHNOLOGY TRANSFER (ICETT)",4023740,12789
"20","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"External Training","Energy & Climate Change International - International Climate Change Negotiations","NATIONAL SCHOOL OF GOVERNMENT",4023742,1500
"21","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"External Training","Corporate Support & Shared Services - Corporate Support & Shared Services","NATIONAL SCHOOL OF GOVERNMENT",4023760,1185
"22","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-07,"Research & Development Expenditure (Programme)","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","FORESTRY COMMISSION",4023832,147300
"23","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Research & Development Expenditure (Programme)","Science & Innovation Group - Science & Innovation Group","WSP ENVIRONMENTAL LTD",4023844,9440
"24","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"DO NOT USE Grants - Non Statutory - Current - Other","National Climate Change & Consumer Support - Energy Efficiency & Consumers","LANCASTER COHOUSING COMPANY LTD",4023848,81737.83
"25","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Research & Development Expenditure (Programme)","Science & Innovation Group - Science & Innovation Group","AIR CONDITIONING CONTRACTORS OF AMERICA",4023858,4638.75
"26","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-06,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","XCHANGETEAM GROUP LTD",4023889,885.42
"27","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Hotels (Programme)","Energy & Climate Change International - International Climate Change Negotiations","INDEPENDENT DIPLOMAT INC",4023897,504.51
"28","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","OFFICE ANGELS LTD",4023901,588.49
"29","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","GHK CONSULTING LTD",4023908,8962.5
"30","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Contributions (Programme)","Energy & Climate Change International - International Energy & Carbon Budgets","OECD",4023909,85260
"31","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"DO NOT USE Grants - Non Statutory - Current - Other","National Climate Change & Consumer Support - Energy Efficiency & Consumers","EAST HAMPSHIRE DISTRICT COUNCIL",4023910,8273.83
"32","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-11,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4023912,60384
"33","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4023914,21720
"34","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-11,"Hire of Agency Staff (Clerical/Secretariat/Other)","Corporate Support & Shared Services - Corporate Support & Shared Services","ADECCO UK LTD",4023921,608.38
"35","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Capital Grants to Private Sector - Own Asset Creation","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","BUILDING RESEARCH ESTABLISHMENT LTD (BRE)",4023925,984317.95
"36","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Capital Grants to Private Sector - Own Asset Creation","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","BUILDING RESEARCH ESTABLISHMENT LTD (BRE)",4023926,406933.77
"37","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Capital Grants - Other","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","BUILDING RESEARCH ESTABLISHMENT LTD (BRE)",4023927,104959.42
"38","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Economic Consultancy & Research","Energy Markets & Infrastructure - Security and resilience","CENTRE FOR THE PROTECTION OF NATIONAL INFRASTRUCTURE",4023930,75000
"39","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Research & Development Expenditure (Programme)","Corporate Support & Shared Services - Corporate Support & Shared Services","ERNST & YOUNG LLP",4023935,32744
"40","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","TUV NEL LTD",4023936,29705.25
"41","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"Research & Development Expenditure (Programme)","Corporate Support & Shared Services - Corporate Support & Shared Services","ERNST & YOUNG LLP",4023937,24206
"42","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"Research & Development Expenditure (Programme)","Corporate Support & Shared Services - Corporate Support & Shared Services","ERNST & YOUNG LLP",4023937,8538
"43","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","XCHANGETEAM GROUP LTD",4023938,937.01
"44","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Hire of Agency Staff (Professional/Management)","Corporate Support & Shared Services - Corporate Support & Shared Services","DEFRA",4023942,53113.64
"45","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Standard Desktop Services","Corporate Support & Shared Services - Corporate Support & Shared Services","DEFRA",4023942,17740.38
"46","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Research & Development Expenditure (Programme)","Science & Innovation Group - Science & Innovation Group","DEFRA",4023943,12403
"47","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Office of Carbon Capture and Storage","IEA ENVIRONMENTAL PROJECTS LTD",4023944,140895
"48","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"Mobile Phones","Corporate Support & Shared Services - Corporate Support & Shared Services","DEFRA",4023945,2321.68
"49","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Research & Development Expenditure (Programme)","Corporate Support & Shared Services - Corporate Support & Shared Services","POYRY MANAGEMENT CONSULTING (UK) LTD",4023946,22308
"50","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Consultancy Advice Provided From Third Parties","Energy Markets & Infrastructure - Security and resilience","STEELHENGE CONSULTING LTD",4023947,8031.5
"51","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Grants - Current - Abroad","Energy Markets & Infrastructure - Security and resilience","NUVIA LTD",4023948,449624
"52","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Energy Development Unit","STEELHENGE CONSULTING LTD",4023949,3776.04
"53","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Energy Development Unit","STEELHENGE CONSULTING LTD",4023949,903.96
"54","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"DO NOT USE Grants - Non Statutory - Current - Other","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","LEICESTERSHIRE COUNTY COUNCIL",4023950,15260.76
"55","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-08,"Research & Development Expenditure (Programme)","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","LEICESTERSHIRE COUNTY COUNCIL",4023950,15141.49
"56","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Grants - Current - Abroad","Energy Markets & Infrastructure - Security and resilience","NUVIA LTD",4023951,37447
"57","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-05,"International Subscriptions","Energy & Climate Change International - International Energy & Carbon Budgets","OECD",4023952,1333675.56
"58","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Grants - Current - Abroad","Energy Markets & Infrastructure - Security and resilience","NUVIA LTD",4023953,685693.69
"59","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-04,"Technical Advice","National Climate Change & Consumer Support - National Climate Change","AEA TECHNOLOGY plc",4023955,96195
"60","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Security and resilience","BROOK STREET (UK) LTD",4023956,810.9
"61","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","OFFICE ANGELS LTD",4023958,623.34
"62","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Cash Expenditure during the Year - COPD","Energy Markets & Infrastructure - Energy Development Unit","HUGH JAMES SOLICITORS",4023959,20000
"63","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Cash Expenditure during the Year - COPD","Energy Markets & Infrastructure - Energy Development Unit","BRM SOLICITORS",4023960,7000
"64","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Security and resilience","BROOK STREET (UK) LTD",4023963,667.49
"65","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy & Climate Change International - International Climate Change Negotiations","BROOK STREET (UK) LTD",4023964,806.12
"66","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Security and resilience","BROOK STREET (UK) LTD",4023965,686.88
"67","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Hire of Agency Staff (Professional/Management)","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","MORGAN HUNT UK LTD",4023967,1764.66
"68","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Hire of Agency Staff (Professional/Management)","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","MORGAN HUNT UK LTD",4023968,1058.8
"69","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Cash Expenditure during the Year - COPD","Energy Markets & Infrastructure - Energy Development Unit","IRWIN MITCHELL SOLICITORS",4023969,15000
"70","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Research & Development Expenditure (Programme)","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","CENTRE FOR SUSTAINABLE ENERGY",4023970,46700
"71","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Energy Strategy and Futures","HIGHVIEW ENTERPRISES LTD T/A HIGHVIEW POWER STORAGE",4023971,185088
"72","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Energy Strategy and Futures","HIGHVIEW ENTERPRISES LTD T/A HIGHVIEW POWER STORAGE",4023971,219542
"73","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Energy Strategy and Futures","HIGHVIEW ENTERPRISES LTD T/A HIGHVIEW POWER STORAGE",4023971,3035
"74","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Outsourced Technical Support (Programme)","Science & Innovation Group - Science & Innovation Group","UNIVERSITY OF EXETER",4023972,9920.61
"75","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"IT Maintenance and Management Services","Energy Markets & Infrastructure - Office of Nuclear Development","PROFESSIONAL SERVICES TECHNOLOGY LTD",4023973,6776
"76","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Hire of Agency Staff (Professional/Management)","Corporate Support & Shared Services - Corporate Support & Shared Services","MILLER & YOUNG UK LTD T/A MYFM",4023974,6125
"77","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Research & Development Expenditure (Programme)","Science & Innovation Group - Science & Innovation Group","NATIONAL NUCLEAR LABORATORY LTD",4023975,9173.6
"78","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Hire of Agency Staff (Clerical/Secretariat/Other)","National Climate Change & Consumer Support - Communications","OFFICE ANGELS LTD",4023977,616.82
"79","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Capital Grants - Other","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","SOUTH BOATS (SPECIAL PROJECTS) LTD",4023978,30000
"80","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-01,"Capital Grants - Other","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","SOUTH BOATS (SPECIAL PROJECTS) LTD",4023979,15000
