"","Site","Meter","Unit","Date","Time","Value"
"1","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-01,"00:00",84
"2","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-02,"00:00",90
"3","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-03,"00:00",90
"4","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-04,"00:00",84
"5","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-05,"00:00",78
"6","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-06,"00:00",84
"7","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-07,"00:00",78
"8","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-08,"00:00",78
"9","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-09,"00:00",72
"10","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-10,"00:00",72
"11","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-11,"00:00",78
"12","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-12,"00:00",78
"13","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-13,"00:00",84
"14","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-14,"00:00",84
"15","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-15,"00:00",78
"16","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-16,"00:00",78
"17","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-17,"00:00",84
"18","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-18,"00:00",78
"19","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-19,"00:00",78
"20","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-20,"00:00",78
"21","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-21,"00:00",72
"22","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-22,"00:00",90
"23","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-23,"00:00",78
"24","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-24,"00:00",72
"25","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-25,"00:00",72
"26","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-26,"00:00",84
"27","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-27,"00:00",78
"28","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-28,"00:00",72
"29","Abercrombie House","Total Natural Gas AH","kWh",2011-02-01,"00:00",0
"30","Abercrombie House","Total Natural Gas AH","kWh",2011-02-02,"00:00",0
