"","Department Family","Entity","Date","Expense type","Expense area","Supplier","Transaction number","Amount"
"1","Department of Health","Leicestershire Partnership NHS Trust",2011-04-04,"Social Worker - Qualified","Early Intervention Services (EIS/PIER)","LEIC COUNTY COUNCIL","25975745",42115.46
"2","Department of Health","Leicestershire Partnership NHS Trust",2011-04-05,"Legal/Prof Fees","Chief Executives Office","BEVAN BRITTAN SOLICITORS","01335480",27909.81
"3","Department of Health","Leicestershire Partnership NHS Trust",2011-04-05,"Honourary Consultant - UNI","Medical Trainees","UNIVERSITY OF LEICESTER","2230061856",254183.08
"4","Department of Health","Leicestershire Partnership NHS Trust",2011-04-05,"UHL SLA LGH","Inter Unit I & E Distribution","UNI HOSP OF LEIC NHST(RWE)","L0066169",157041
"5","Department of Health","Leicestershire Partnership NHS Trust",2011-04-05,"OTS Invoices Awaiting Approval","Balance Sheet Collection","LEIC CITY COUNCIL","81267781",32834.63
"6","Department of Health","Leicestershire Partnership NHS Trust",2011-04-06,"Lease Rents","Adult City East CMHT - Administration","LEICESTER LIFT CO","L1582",21432.99
"7","Department of Health","Leicestershire Partnership NHS Trust",2011-04-06,"OTS Invoices Awaiting Approval","Balance Sheet Collection","LEICESTER LIFT CO","L1580",104684.59
"8","Department of Health","Leicestershire Partnership NHS Trust",2011-04-06,"OTS Invoices Awaiting Approval","Balance Sheet Collection","LEICESTER LIFT CO","L1578",35876.12
"9","Department of Health","Leicestershire Partnership NHS Trust",2011-04-06,"OTS Invoices Awaiting Approval","Balance Sheet Collection","LEICESTER LIFT CO","L1579",104022.4
"10","Department of Health","Leicestershire Partnership NHS Trust",2011-04-06,"OTS Invoices Awaiting Approval","Balance Sheet Collection","LEICESTER LIFT CO","L1576",159681.21
"11","Department of Health","Leicestershire Partnership NHS Trust",2011-04-06,"OTS Invoices Awaiting Approval","Balance Sheet Collection","LEICESTER LIFT CO","L1577",40301.22
"12","Department of Health","Leicestershire Partnership NHS Trust",2011-04-06,"KPMG Partnership","Internal Audit - Audit","K P M G CONSULTING","5500345667",36200
"13","Department of Health","Leicestershire Partnership NHS Trust",2011-04-06,"Tax/SS_Crs - LT1y -Construction Industry Scheme","Balance Sheet Collection","GIVE US A BREAK LTD","35916",-1200
"14","Department of Health","Leicestershire Partnership NHS Trust",2011-04-06,"Building & Engineering Equipment Maintenance - Contracts","Estates Department","GIVE US A BREAK LTD","35916",24969.38
"15","Department of Health","Leicestershire Partnership NHS Trust",2011-04-06,"Tax/SS_Crs - LT1y -Construction Industry Scheme","Balance Sheet Collection","GIVE US A BREAK LTD","35918",-1200
"16","Department of Health","Leicestershire Partnership NHS Trust",2011-04-06,"Building & Engineering Equipment Maintenance - Contracts","Estates Department","GIVE US A BREAK LTD","35918",23679.14
"17","Department of Health","Leicestershire Partnership NHS Trust",2011-04-07,"Rates","Adult County West Leicestershire CMHT","HINCKLEY & BOS BOR COUNCIL","101125389/11-12",32698.25
"18","Department of Health","Leicestershire Partnership NHS Trust",2011-04-07,"Rates","Rents and Rates","HINCKLEY & BOS BOR COUNCIL","101215613/11-12",47197
"19","Department of Health","Leicestershire Partnership NHS Trust",2011-04-07,"OTS Invoices Awaiting Approval","Balance Sheet Collection","JAC COMPUTER SERVICES LTD","15914",59504.4
"20","Department of Health","Leicestershire Partnership NHS Trust",2011-04-07,"Other Service Charge","FM Services","LEICESTER HOUSING ASSOC LTD","205133",75845.79
"21","Department of Health","Leicestershire Partnership NHS Trust",2011-04-07,"Rent","FM Services","LEICESTER HOUSING ASSOC LTD","205133",67781.18
"22","Department of Health","Leicestershire Partnership NHS Trust",2011-04-07,"Rent","Rents and Rates","SYSTON HEALTH CONSORTIUM","77/10.11",36900
"23","Department of Health","Leicestershire Partnership NHS Trust",2011-04-07,"Rates","Rents and Rates","MELTON BOROUGH COUNCIL","800190995/11-12",64341
"24","Department of Health","Leicestershire Partnership NHS Trust",2011-04-07,"Rates","Rents and Rates","NW LEICS DISTRICT COUNCIL","2001095933/11-12",88765
"25","Department of Health","Leicestershire Partnership NHS Trust",2011-04-07,"Rates","Trust Headquarters Admin","LEIC CITY COUNCIL","8002070235/11-12",120157.5
"26","Department of Health","Leicestershire Partnership NHS Trust",2011-04-07,"Rates","Gen Estates Exps Glenfrith","LEIC CITY COUNCIL","8002137945/11-12",158045
"27","Department of Health","Leicestershire Partnership NHS Trust",2011-04-07,"Rates","Management Administration","LEIC CITY COUNCIL","8001246533/11-12",27552.52
"28","Department of Health","Leicestershire Partnership NHS Trust",2011-04-07,"Business rates","Prince Philip House","LEIC CITY COUNCIL","8002301995/11-12",27279
"29","Department of Health","Leicestershire Partnership NHS Trust",2011-04-07,"Rates","Rents and Rates","CHARNWOOD BOROUGH COUNCIL","96153252/11-12",28467.98
"30","Department of Health","Leicestershire Partnership NHS Trust",2011-04-07,"Rates","Rents and Rates","CHARNWOOD BOROUGH COUNCIL","96034105/11-12",216500
"31","Department of Health","Leicestershire Partnership NHS Trust",2011-04-07,"Business rates","BPP Relocation","CHARNWOOD BOROUGH COUNCIL","96201732/11-12",123538.03
"32","Department of Health","Leicestershire Partnership NHS Trust",2011-04-07,"Rates","Evington Ctr Site Services","LEIC CITY COUNCIL","8001112446/11-12",38104
"33","Department of Health","Leicestershire Partnership NHS Trust",2011-04-07,"Rates","Rents and Rates","BLABY DISTRICT COUNCIL","N080072898/11-12",105565.36
"34","Department of Health","Leicestershire Partnership NHS Trust",2011-04-07,"Rates","OSL House Site Services","BLABY DISTRICT COUNCIL","N030054285/11-12",54558
"35","Department of Health","Leicestershire Partnership NHS Trust",2011-04-11,"Crs_NHS_LT1y -Resus Inventory Supplied.","Balance Sheet Collection","NHS SUPPLY CHAIN (ST1450)","1012001249",33696.44
"36","Department of Health","Leicestershire Partnership NHS Trust",2011-04-11,"Rates","Rents and Rates","BLABY DISTRICT COUNCIL","N080065427/11-12",116663.76
"37","Department of Health","Leicestershire Partnership NHS Trust",2011-04-11,"Rates","Rents and Rates","CHARNWOOD BOROUGH COUNCIL","96117362/11-12",38320.94
"38","Department of Health","Leicestershire Partnership NHS Trust",2011-04-11,"Rates","Rents and Rates","RUTLAND COUNTY COUNCIL D C","10013455/11-12",27928.5
"39","Department of Health","Leicestershire Partnership NHS Trust",2011-04-13,"Rates","W Leics Admin/Nursing","HINCKLEY & BOS BOR COUNCIL","101182995/11-12",35939
"40","Department of Health","Leicestershire Partnership NHS Trust",2011-04-15,"Telephone equipment","Adult City South West CMHT","VIRGIN MEDIA BUSINESS","853083001001/MAR11",14.4
"41","Department of Health","Leicestershire Partnership NHS Trust",2011-04-15,"Telephone equipment","Adult City West CMHT - BHSCC","VIRGIN MEDIA BUSINESS","853083001001/MAR11",202.08
"42","Department of Health","Leicestershire Partnership NHS Trust",2011-04-15,"Telephone equipment","Adult County Assertive Outreach","VIRGIN MEDIA BUSINESS","853083001001/MAR11",57.6
"43","Department of Health","Leicestershire Partnership NHS Trust",2011-04-15,"Telephone equipment","Adult County Charnwood CMHT - Loughborough Base","VIRGIN MEDIA BUSINESS","853083001001/MAR11",641.72
"44","Department of Health","Leicestershire Partnership NHS Trust",2011-04-15,"Telephone equipment","Adult County North West Leicestershire CMHT","VIRGIN MEDIA BUSINESS","853083001001/MAR11",677.51
"45","Department of Health","Leicestershire Partnership NHS Trust",2011-04-15,"Telephone equipment","Adult County South Leicestershire CMHT","VIRGIN MEDIA BUSINESS","853083001001/MAR11",637.82
"46","Department of Health","Leicestershire Partnership NHS Trust",2011-04-15,"Telephone equipment","Adult County West Leicestershire CMHT","VIRGIN MEDIA BUSINESS","853083001001/MAR11",593.56
"47","Department of Health","Leicestershire Partnership NHS Trust",2011-04-15,"Telephone equipment","Bradgate Unit Site Services","VIRGIN MEDIA BUSINESS","853083001001/MAR11",3747
