"","Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (<U+00A3>)","Payscale Maximum (<U+00A3>)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"1","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1182","HEO",25000,40828,"Operational Manager",1,"Operational Delivery"
"2","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1182","Grade 7",45300,57222,"Generalist",7,"Operational Delivery"
"3","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1182","SEO",33200,49008,"Generalist",2,"Operational Delivery"
"4","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1182","HEO",25000,40828,"Project Manager",2,"Operational Delivery"
"5","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1182","SEO",33200,49008,"Project Manager",2.58,"Operational Delivery"
"6","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1184","EA/AO",15266,24858,"PERSONAL ASSISTANT",1,"Operational Delivery"
"7","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1182","EO",21916,32232,"Project Support Officer",6.89,"Operational Delivery"
"8","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1182","Grade 7",45300,57222,"Programme Manager",1,"Operational Delivery"
"9","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1182","Grade 6",55431,69187,"Senior Operational Manager",2,"Operational Delivery"
"10","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1182","SEO",33200,49008,"Statistician",1,"Operational Delivery"
"11","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1182","HEO",25000,40828,"Generalist",1,"Operational Delivery"
"12","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1182","Grade 7",45300,57222,"Senior Statistician",1,"Operational Delivery"
"13","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1183","HEO",25000,40828,"Operational Manager",6.92,"Operational Delivery"
"14","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1183","EO",21916,32232,"Operations Support Officer",1,"Operational Delivery"
"15","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1183","Grade 6",55431,69187,"Senior Operational Manager",4,"Operational Delivery"
"16","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1183","SEO",33200,49008,"Operational Manager",1,"Operational Delivery"
"17","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1183","Grade 7",45300,57222,"Operational Manager",1,"Operational Delivery"
"18","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1183","HEO",25000,40828,"Analyst",3,"Operational Delivery"
"19","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1183","Grade 7",45300,57222,"Senior Analyst",3,"Operational Delivery"
"20","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1183","HEO",25000,40828,"IT Manager",0.7,"Operational Delivery"
"21","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1183","Grade 7",45300,57222,"Senior Project Manager",2,"Operational Delivery"
"22","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1184","EO",21916,32232,"Operations Support Officer",5,"Operational Delivery"
"23","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1184","EO",21916,32232,"Operational Manager",4,"Operational Delivery"
"24","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1184","SEO",33200,49008,"Operational Manager",2.9,"Operational Delivery"
"25","Department for Education","Standards and Testing Agency","Standards and Testing Agency","DFE-1184","HEO",25000,40828,"Operations Support Officer",5.92,"Operational Delivery"
