"","Date of Payment","Expense type","Expense Area","Supplier","Transaction Number","Amount","Department and Entity"
"1",2013-08-15,"MATERIALS & SPARES","FUSION","A & J Non Ferrous",1900058676,490,"United Kingdom Atomic Energy Authority"
"2",2013-08-19,"PLANT SPARES","FUSION","A D INSTALLATION LTD",5100292663,620,"United Kingdom Atomic Energy Authority"
"3",2013-08-12,"PLANT SPARES","FUSION","A W CLARKE",5100292291,136.8,"United Kingdom Atomic Energy Authority"
"4",2013-07-29,"PLANT SPARES","FUSION","A W CLARKE",5100291040,3912,"United Kingdom Atomic Energy Authority"
"5",2013-07-31,"PLANT & EQUIPMENT","FUSION","AALCO LIMITED",5100291965,189.6,"United Kingdom Atomic Energy Authority"
"6",2013-07-29,"PLANT & EQUIPMENT","FUSION","AALCO LIMITED",5100291914,252.7,"United Kingdom Atomic Energy Authority"
"7",2013-08-05,"PLANT & EQUIPMENT","FUSION","AALCO LIMITED",5100292137,642.5,"United Kingdom Atomic Energy Authority"
"8",2013-08-05,"PLANT & EQUIPMENT","FUSION","AALCO LIMITED",5100292136,1189.2,"United Kingdom Atomic Energy Authority"
"9",2013-07-29,"PLANT & EQUIPMENT","FUSION","AALCO LIMITED",5100291962,3144.1,"United Kingdom Atomic Energy Authority"
"10",2013-08-05,"PLANT & EQUIPMENT","FUSION","ABB LIMITED",5100291877,1960,"United Kingdom Atomic Energy Authority"
"11",2013-07-29,"PLANT & EQUIPMENT","FUSION","ABB LIMITED",5100291876,3873,"United Kingdom Atomic Energy Authority"
"12",2013-08-13,"PLANT & EQUIPMENT","FUSION","Absolute Data Services Ltd",1900058652,837.04,"United Kingdom Atomic Energy Authority"
"13",2013-07-29,"MATERIALS & SPARES","FUSION","ADHECTIC LIMITED",5100291866,78.69,"United Kingdom Atomic Energy Authority"
"14",2013-08-07,"MATERIALS & SPARES","FUSION","ADHECTIC LIMITED",5100291213,1159.76,"United Kingdom Atomic Energy Authority"
"15",2013-08-12,"SECURITY AND EMERGENCY","PROPERTY","ADT FIRE & SECURITY PLC",5100292140,5518,"United Kingdom Atomic Energy Authority"
"16",2013-08-05,"CONSUMABLES","FUSION","AGATE PRODUCTS LTD",5100292059,195,"United Kingdom Atomic Energy Authority"
"17",2013-07-29,"GASES","FUSION","AIR PRODUCTS PLC",5100291650,18.3,"United Kingdom Atomic Energy Authority"
"18",2013-08-12,"MATERIALS & SPARES","FUSION","ALLWELD SUPPLIES",5100292427,92.5,"United Kingdom Atomic Energy Authority"
"19",2013-08-05,"MATERIALS & SPARES","FUSION","ALPHA ENGINEERING SUPPLIES",5100292128,1.19,"United Kingdom Atomic Energy Authority"
"20",2013-08-05,"MATERIALS & SPARES","FUSION","ALPHA ENGINEERING SUPPLIES",5100292060,27.12,"United Kingdom Atomic Energy Authority"
"21",2013-07-29,"MATERIALS & SPARES","FUSION","ALPHA ENGINEERING SUPPLIES",5100291911,162,"United Kingdom Atomic Energy Authority"
"22",2013-08-05,"MATERIALS & SPARES","FUSION","ALPHA ENGINEERING SUPPLIES",5100292193,199.25,"United Kingdom Atomic Energy Authority"
