"","Source","Quarter","Value"
"1","Global Average","1Q2009",9.67
"2","Global Weighted Average ","1Q2009",8.15
"3","Canada","1Q2009",13.28
"4","France","1Q2009",11.5
"5","Germany ","1Q2009",13.53
"6","Italy","1Q2009",7.36
"7","Japan","1Q2009",18.24
"8","Russia","1Q2009",2.42
"9","UK","1Q2009",10.27
"10","US","1Q2009",7.21
"11","G8 Average","1Q2009",10.32
"12","Global Average","3Q2009",9.4
"13","Global Weighted Average ","3Q2009",7.84
"14","Canada","3Q2009",11.07
"15","France","3Q2009",11.15
"16","Germany ","3Q2009",12.71
"17","Italy","3Q2009",8.21
"18","Japan","3Q2009",19.06
"19","Russia","3Q2009",2.99
"20","UK","3Q2009",9.05
"21","US","3Q2009",7.06
"22","G8 Average","3Q2009",8.8
"23","Global Average","1Q2010",8.72
"24","Global Weighted Average ","1Q2010",7.68
"25","Canada","1Q2010",10.18
"26","France","1Q2010",10.01
"27","Germany ","1Q2010",11.85
"28","Italy","1Q2010",8.11
"29","Japan","1Q2010",17.34
"30","Russia","1Q2010",2.54
"31","UK","1Q2010",8.29
"32","US","1Q2010",7.57
"33","G8 Average","1Q2010",8.37
"34","Global Average","3Q2010",8.89
"35","Global Weighted Average ","3Q2010",7.37
"36","Canada","3Q2010",10.9
"37","France","3Q2010",8.95
"38","Germany ","3Q2010",12.67
"39","Italy","3Q2010",7.87
"40","Japan","3Q2010",16.16
"41","Russia","3Q2010",2.52
"42","UK","3Q2010",8.07
"43","US","3Q2010",7.14
"44","G8 Average","3Q2010",8.4
"45","Global Average","1Q2011",9.08
"46","Global Weighted Average ","1Q2011",7.21
"47","Canada","1Q2011",10.31
"48","France","1Q2011",8.76
"49","Germany ","1Q2011",10.98
"50","Italy","1Q2011",7.57
"51","Japan","1Q2011",17.54
"52","Russia","1Q2011",2.88
"53","UK","1Q2011",8.33
"54","US","1Q2011",6.67
"55","G8 Average","1Q2011",8.36
"56","Global Average","3Q2011",9.3
"57","Global Weighted Average ","3Q2011",7.02
"58","Canada","3Q2011",11.87
"59","France","3Q2011",11.63
"60","Germany ","3Q2011",12.64
"61","Italy","3Q2011",8.18
"62","Japan","3Q2011",16.84
"63","Russia","3Q2011",2.68
"64","UK","3Q2011",7.73
"65","US","3Q2011",6.943
"66","G8 Average","3Q2011",8.53
"67","Global Average","1Q2012",9.12
"68","Global Weighted Average ","1Q2012",7.1
"69","Canada","1Q2012",11.08
"70","France","1Q2012",11.78
"71","Germany ","1Q2012",11.16
"72","Italy","1Q2012",7.88
"73","Japan","1Q2012",15.7
"74","Russia","1Q2012",2.33
"75","UK","1Q2012",7.93
"76","US","1Q2012",6.91
"77","G8 Average","1Q2012",8.49
"78","Global Average","3Q2012",8.97
"79","Global Weighted Average ","3Q2012",7.26
"80","Canada","3Q2012",10.06
"81","France","3Q2012",11.68
"82","Germany ","3Q2012",10.94
"83","Italy","3Q2012",7.47
"84","Japan","3Q2012",16.32
"85","Russia","3Q2012",2.42
"86","UK","3Q2012",7.88
"87","US","3Q2012",6.8
"88","G8 Average","3Q2012",8.31
"89","Global Average","1Q2013",9.05
"90","Global Weighted Average ","1Q2013",6.92
"91","Canada","1Q2013",11.03
"92","France","1Q2013",10.72
"93","Germany ","1Q2013",10.16
"94","Italy","1Q2013",7.64
"95","Japan","1Q2013",16.66
"96","Russia","1Q2013",2.43
"97","UK","1Q2013",7.96
"98","US","1Q2013",6.75
"99","G8 Average","1Q2013",8.53
