"","Appointing Minister","Name of Special Adviser","Date of Hospitality","Name of Organisation","Type of hospitality received"
"1","Prime Minister, The Rt Hon David Cameron MP","Gabby Bertin",2011-07-22,"Financial Times","Lunch"
"2","Prime Minister, The Rt Hon David Cameron MP","Gabby Bertin",2011-09-08,"BBC","Lunch"
"3","Prime Minister, The Rt Hon David Cameron MP","Gabby Bertin",2011-09-13,"The Sun","Lunch"
"4","Prime Minister, The Rt Hon David Cameron MP","Gabby Bertin",2011-09-19,"The Evening Standard","Lunch"
"5","Prime Minister, The Rt Hon David Cameron MP","Gabby Bertin",2011-09-22,"The Telegraph","Lunch"
"6","Prime Minister, The Rt Hon David Cameron MP","Tim Colbourne",2011-07-20,"Whitehouse Consultancy Ltd","Lunch"
"7","Prime Minister, The Rt Hon David Cameron MP","Tim Colbourne",2011-08-25,"Whitehouse Consultancy Ltd","Lunch"
"8","Prime Minister, The Rt Hon David Cameron MP","Tim Colbourne",2011-09-01,"Pinewood Studios Group","Lunch"
"9","Prime Minister, The Rt Hon David Cameron MP","Andrew Cooper",2011-07-07,"ITV","Lunch"
"10","Prime Minister, The Rt Hon David Cameron MP","Andrew Cooper",2011-07-08,"McDonough Partnership","Lunch"
"11","Prime Minister, The Rt Hon David Cameron MP","Andrew Cooper",2011-07-10,"The Times","Dinner"
"12","Prime Minister, The Rt Hon David Cameron MP","Andrew Cooper",2011-08-18,"The Sunday Times","Lunch"
"13","Prime Minister, The Rt Hon David Cameron MP","Andrew Cooper",2011-08-31,"The Economist","Lunch"
"14","Prime Minister, The Rt Hon David Cameron MP","Andrew Cooper",2011-09-06,"TLG Communications","Lunch"
"15","Prime Minister, The Rt Hon David Cameron MP","Andrew Cooper",2011-09-23,"BT","Lunch"
"16","Prime Minister, The Rt Hon David Cameron MP","Catherine Fall",2011-09-21,"British Airways","Flight upgrade"
"17","Prime Minister, The Rt Hon David Cameron MP","Sean Kemp",2011-07-26,"The Observer","Lunch"
"18","Prime Minister, The Rt Hon David Cameron MP","Ed Llewellyn",2011-07-06,"Armed Forces Parliamentary Scheme ","Reception"
"19","Prime Minister, The Rt Hon David Cameron MP","Ed Llewellyn",2011-07-21,"Lord Powell","Breakfast"
"20","Prime Minister, The Rt Hon David Cameron MP","Ed Llewellyn",2011-09-13,"Hong Kong Trade Development Council","Annual Dinner"
"21","Prime Minister, The Rt Hon David Cameron MP","Ed Llewellyn",2011-09-21,"Atlantic Partnership","Breakfast"
"22","Prime Minister, The Rt Hon David Cameron MP","Ed Llewellyn",2011-09-30,"Lord Powell","Breakfast"
"23","Prime Minister, The Rt Hon David Cameron MP","Polly Mackenzie",2011-08-17,"KPMG","Lunch"
"24","Prime Minister, The Rt Hon David Cameron MP","Craig Oliver",2011-07-07,"Spectator","Drinks"
"25","Prime Minister, The Rt Hon David Cameron MP","Craig Oliver",2011-07-11,"Daily Mail","Dinner"
"26","Prime Minister, The Rt Hon David Cameron MP","Craig Oliver",2011-07-13,"ITV","Drinks"
"27","Prime Minister, The Rt Hon David Cameron MP","Craig Oliver",2011-07-15,"BBC","Ticket(s) to the Proms"
"28","Prime Minister, The Rt Hon David Cameron MP","Craig Oliver",2011-07-26,"The Times","Lunch"
"29","Prime Minister, The Rt Hon David Cameron MP","Craig Oliver",2011-07-27,"Channel 4","Lunch"
"30","Prime Minister, The Rt Hon David Cameron MP","Craig Oliver",2011-08-02,"Total Politics/Portland","Lunch"
"31","Prime Minister, The Rt Hon David Cameron MP","Craig Oliver",2011-08-26,"Sky","Lunch"
"32","Prime Minister, The Rt Hon David Cameron MP","Craig Oliver",2011-09-15,"Carlton Club","Dinner"
"33","Prime Minister, The Rt Hon David Cameron MP","Lena Pietsch",2011-07-05,"Financial Times","Lunch"
"34","Prime Minister, The Rt Hon David Cameron MP","Patrick Rock",2011-07-22,"Policy Exchange ","Lunch"
"35","Prime Minister, The Rt Hon David Cameron MP","Michael Salter",2011-07-01,"Martina Navratilova","Wimbledon tickets"
"36","Prime Minister, The Rt Hon David Cameron MP","Michael Salter",2011-08-05,"BBC","Lunch"
"37","Prime Minister, The Rt Hon David Cameron MP","Alan Sendorek ",2011-09-22,"Daily Mail","Lunch"
"38","Prime Minister, The Rt Hon David Cameron MP","Rohan Silva",2011-07-05,"Arcadia","Lunch"
"39","Prime Minister, The Rt Hon David Cameron MP","Rohan Silva",2011-08-11,"Quiller Consultants","Lunch"
"40","Prime Minister, The Rt Hon David Cameron MP","Rohan Silva",2011-09-08,"Cambridge University","Overnight accommodation and dinner"
"41","Prime Minister, The Rt Hon David Cameron MP","Rohan Silva",2011-09-27,"Prince's Trust","Dinner"
"42","Prime Minister, The Rt Hon David Cameron MP","Rohan Silva",2011-09-28,"Intel","Dinner"
