"","CPS outcomes by principal offence category ","Number of Defendants convicted","Convictions Percentage (%)","Number of Defendants Unsuccessful Prosecutions","Unsuccessful Prosecutions Percentage (%)"
"1","42 Areas",3157,87.1,469,12.9
"2","P01-Avon&Somerset",108,93.1,8,6.9
"3","P02-Bedfordshire",22,91.7,2,8.3
"4","P03-Cambridgeshire",43,84.3,8,15.7
"5","P04-Cheshire",42,93.3,3,6.7
"6","P06-Cleveland",71,93.4,5,6.6
"7","P07-Cumbria",38,92.7,3,7.3
"8","P08-Derbyshire",56,80,14,20
"9","P09-Devon&Cornwall",98,86.7,15,13.3
"10","P10-Dorset",38,92.7,3,7.3
"11","P11-Durham",47,95.9,2,4.1
"12","P12-DyfedPowys",27,90,3,10
"13","P13-Essex",98,89.9,11,10.1
"14","P14-Gloucestershire",15,71.4,6,28.6
"15","P15-GreaterManchester",182,87.1,27,12.9
"16","P16-Gwent",45,93.8,3,6.3
"17","P17-Hampshire",132,89.8,15,10.2
"18","P18-Hertfordshire",39,84.8,7,15.2
"19","P19-Humberside",70,94.6,4,5.4
"20","P20-Kent",102,86.4,16,13.6
"21","P21-Lancashire",127,88.2,17,11.8
"22","P22-Leicestershire",41,95.3,2,4.7
"23","P23-Lincolnshire",32,84.2,6,15.8
"24","P24-Merseyside",71,83.5,14,16.5
"25","P25-Metropolitan&City",369,82.2,80,17.8
"26","P26-Norfolk",53,96.4,2,3.6
"27","P27-Northamptonshire",34,73.9,12,26.1
"28","P28-Northumbria",126,92.6,10,7.4
"29","P29-NorthWales",54,91.5,5,8.5
"30","P30-NorthYorkshire",45,90,5,10
"31","P31-Nottinghamshire",64,83.1,13,16.9
"32","P32-SouthWales",120,86.3,19,13.7
"33","P33-SouthYorkshire",77,89.5,9,10.5
"34","P34-Staffordshire",78,87.6,11,12.4
"35","P35-Suffolk",44,97.8,1,2.2
"36","P36-Surrey",21,72.4,8,27.6
"37","P37-Sussex",62,79.5,16,20.5
"38","P38-ThamesValley",78,85.7,13,14.3
"39","P39-Warwickshire",23,85.2,4,14.8
"40","P40-WestMercia",52,88.1,7,11.9
"41","P41-WestMidlands",146,84.9,26,15.1
"42","P42-WestYorkshire",142,83.5,28,16.5
"43","P43-Wiltshire",25,80.6,6,19.4
