machine,cash_count,cash_amount,credit_count,credit_amount,total_count,total_revenue,date
CGG_AP21-AU,318,651.75,53,197.40,371,849.15,20141201
CGG_BC13-AU,87,446.75,72,426.60,159,873.35,20141201
CGG_BC14-AU,118,571.10,130,772.60,248,1343.70,20141201
CGG_BC21-AU,287,1089.90,196,2134.95,483,3224.85,20141201
CGG_BC41-AU,298,1172.15,163,949.85,461,2122.00,20141201
CGG_BC42-AU,104,462.80,67,383.50,171,846.30,20141201
CGG_BC43-AU,281,1038.55,263,1520.20,544,2558.75,20141201
CGG_BR14-AU,81,256.15,13,54.35,94,310.50,20141201
CGG_BR15-AU,179,496.25,78,332.45,257,828.70,20141201
CGG_BR16-AU,229,482.80,30,121.25,259,604.05,20141201
CGG_BR22-AU,521,1308.60,109,389.80,630,1698.40,20141201
CGG_BR23-AU,615,1755.75,227,1198.45,842,2954.20,20141201
CGG_BR26-AU,762,1839.55,127,448.60,889,2288.15,20141201
CGG_BR31-AU,1005,2690.45,165,774.90,1170,3465.35,20141201
CGG_BR32-AU,890,2140.05,77,278.05,967,2418.10,20141201
CGG_BR33-AU,309,835.25,35,169.35,344,1004.60,20141201
CGG_BR34-AU,1402,3149.55,125,400.45,1527,3550.00,20141201
CGG_BR35-AU,1156,3179.05,155,690.40,1311,3869.45,20141201
CGG_BR41-AU,177,740.05,114,663.95,291,1404.00,20141201
CGG_BR42-AU,703,2014.70,150,649.95,853,2664.65,20141201
CGG_BR43-AU,132,560.60,94,552.50,226,1113.10,20141201
CGG_BR44-AU,368,1117.05,72,293.75,440,1410.80,20141201
CGG_BR45-AU,150,663.40,136,787.05,286,1450.45,20141201
CGG_BS11-AU,209,994.85,169,1002.75,378,1997.60,20141201
CGG_BS12-AU,528,1669.75,116,538.00,644,2207.75,20141201
CGG_BS13-AU,138,703.40,152,883.55,290,1586.95,20141201
CGG_BS16-AU,131,526.50,130,755.75,261,1282.25,20141201
CGG_BS17-AU,597,1936.90,103,819.20,700,2756.10,20141201
CGG_BS18-AU,578,1672.40,128,600.35,706,2272.75,20141201
CGG_BS21-AU,1430,3318.95,122,442.35,1552,3761.30,20141201
CGG_BS22-AU,971,2076.10,60,196.75,1031,2272.85,20141201
CGG_BS23-AU,982,2263.75,77,247.45,1059,2511.20,20141201
CGG_BS24-AU,1170,2393.85,101,296.65,1271,2690.50,20141201
CGG_BS25-AU,1242,2922.95,144,510.45,1386,3433.40,20141201
CGG_BS26-AU,1848,4261.50,178,582.25,2026,4843.75,20141201
CGG_BS27-AU,1990,5246.70,176,638.50,2166,5885.20,20141201
CGG_BS29-AU,819,2361.85,102,412.45,921,2774.30,20141201
CGG_BS31-AU,682,1936.95,76,290.50,758,2227.45,20141201
CGG_BS32-AU,1046,2882.05,106,381.05,1152,3263.10,20141201
CGG_BS34-AU,132,379.90,13,53.75,145,433.65,20141201
CGG_BS35-AU,749,2153.95,64,237.45,813,2391.40,20141201
CGG_BS36-AU,1756,5021.80,219,869.05,1975,5890.85,20141201
CGG_BS37-AU,1614,4672.85,178,662.30,1792,5335.15,20141201
CGG_BS51-AU,544,2037.40,121,651.75,665,2689.15,20141201
CGG_BS52-AU,284,1053.70,58,324.30,342,1378.00,20141201
CGG_BS53-AU,369,1413.50,90,516.15,459,1929.65,20141201
CGG_BS54-AU,500,1955.45,78,410.60,578,2366.05,20141201
CGG_CCX1-AU,141,687.60,205,2794.20,346,3481.80,20141201
