CODICE_MUSEO,CODICE_SEDE,PROVINCIA_SEDE,COMUNE_SEDE,DENOMINAZIONE_MUSEO,DENOMINAZIONE_SEDE,INDIRIZZO_SEDE,FRAZIONE_SEDE,CAP_SEDE,TELEFONO_SEDE,FAX_SEDE,EMAIL_SEDE,SITO_WEB_SEDE,SITO_WEB_SEDE_1,NOTE_SEDE,TIPO_RICONOSCIMENTO,TIPOLOGIA_MUSEO,TIPOLOGIA_ENTE_PROPRIETARIO,APERTURA_SEDE,TIPO_CHIUSURA,MOTIVAZIONE_CHIUSURA_TEMPO_DET,NOTE_APERTURA,DESCRIZIONE_ORARI_APERTURA,CHIUSURA_SETTIMANALE,NOTE_ORARI_APERTURA,PARCHEGGI_VICINI,PARCHEGGI_PERS_DISABILITA,BIGLIETTERIA,GUARDAROBA,AREA_ACCOGLIENZA,BOOKSHOP,CAFFETTERIA,AREA_ASSISTENZA_INFANZIA,NOTE_SPAZI_SERVIZIO_PUBBLICO,LABORATORIO_FOTOGRAFICO,LABORATORIO_RESTAURO,LABORATORIO_PREPARAZIONE,LABORATORIO_ANALISI,NOTE_LABORATORI,SERVIZI_IGIENICI,SERV_IG_PERS_DISABILITA,DOTAZ_INFORMATICHE_STUDIO,DOTAZ_INFORMATICHE_AREE_ESP,TIPO_ACCESSO_PERS_DISABILITA,GRATUITO_PAGAMENTO,GIORNO_INGRESSO_GRATIS,PREZZO_INTERO_EURO,PREZZO_RIDOTTO_EURO,PREZZO_GRUPPI_EURO,PREZZO_SCUOLE_EURO,PREZZO_ALTRO_EURO,BIGLIETTO_CUMULATIVO,FIDELIZZAZIONE,ABBONAMENTO,NOTE_MODALITA_ACCESSO,ANNO_RIF_VISITATORI,TOTALE_VISITATORI,SINGOLI,UNDER_18_OVER_65,GRUPPI_SCOLASTICI,GRUPPI_ORGANIZZATI,NOTE_AFFLUENZA_PUBBLICO,STORICO_VISITATORI,DOTATO_CARTA_SERVIZI,SERVIZIO_EDUCATIVO,BIBLIOTECA,FOTOTECA,ARCHIVIO,DEPOSITI_CONSULTABILI,ALTRO,NOTE_SERVIZI_UTENTI,DISP_SERVIZI_ONLINE,PRENOTAZIONE_ONLINE,ACQUISTI_ONLINE,CONSULTAZIONE_ARCHIVI_ONLINE,NOTE_SERVIZI_ONLINE,WGS84_X,WGS84_Y,LOCATION
1,1,BG,CAMERATA CORNELLO,MUSEO DEI TASSO E DELLA STORIA POSTALE,Museo del Tasso,Via Cornello 22,,24010,034543479,034543479,info@museodeitasso.com,http://www.museodeitasso.com,,,Raccolta Museale,Storia,ENTE PUBBLICO,SI,,,,Da mercoledì a domenica dalle 10.00 alle 12.00 e dalle 14.00 alle 18.00,Lunedì e martedì. Con eccezione del periodo estivo.,,SI,NO,NO,NO,SI,SI,NO,NO,,NO,NO,NO,NO,,SI,NO,NO,NO,ACCESSO ASSENTE,GRATUITO,,,,,,,NO,SI,NO,L'ingresso al Museo è gratuito. Il Museo ha un tariffario per le visite guidate rivolte ai gruppi e ai privati e alle scuole.,2019,12684,10895,4576,361,1428,"I numeri dei visitatori certi sono quelli legati ai gruppi organizzati e gruppi scolastici. Per quantpo riguarda i vistatori singoli e la divisione per età, si tratta di stime, non avendo lo sbigliettamento. I calcoli sono fatti calcolando ogni giorno l'entrata di ogni singolo visitatore nella sala 1 dove si trova il front-office  del museo.",(2019:12684)|(2018:10975)|(2017:11833)|(2016:10047)|(2015:7912),NO,SI,SI,NO,NO,SI,NO,,SI,SI,SI,SI,,9.6545868,45.8964306,"(45.8964306, 9.6545868)"
41,162,BG,ZOGNO,FONDAZIONE POLLI-STOPPANI.ONLUS,Fondazione Polli-Stoppani.Onlus,Via Mazzini. 3,,24019,0345 91473,0345 50866,museodellavallezogno@virgilio.it,http://www.museodellavalle.it,,,Raccolta Museale,Composito,ENTE DI DIRITTO PRIVATO,SI,,,,Da mrtedì a domenica  9 -12  14 -17.  Chiuso il lunedì,Lunedì,,,,SI,NO,SI,SI,NO,SI,"Per l'intrattenimento del pubblico il museo si avvale di:
- ingresso
- sala delle conferenze
- quadriporto nel giaridno",NO,NO,NO,NO,In allestimento prossimo un laboratorio di ricerca e restauro.,SI,SI,NO,NO,ACCESSO TOTALE,A PAGAMENTO,"Prima domanica del mese, notti bianche, conferenze, mostre, eventi.",3.5,2,,,,NO,NO,NO,"Ingresso gratuito per accompagnatori scolaresche e comitive.
Laboratori didattici.",2019,476,,,139,155,,(2019:476)|(2018:828)|(2017:306)|(2016:1179)|(2015:1299),NO,NO,SI,SI,NO,NO,NO,,SI,NO,NO,SI,,9.6653782,45.7942988,"(45.7942988, 9.6653782)"
28,182,BG,ALZANO LOMBARDO,MUSEO D'ARTE SACRA S. MARTINO,Museo d'arte Sacra San Martino,Piazza Italia 8,,24022,035 516579,035 511123,info@museosanmartino.org,http://www.museosanmartino.org,,,Raccolta Museale,Arte,ENTE ECCLESIASTICO,SI,,,,"domeniche e festivi 15-19

lunedì, mercoledì, giovedì, venerdì 8.30-10.00

tutti i giorni su richiesta",,,SI,SI,SI,NO,SI,NO,NO,NO,,NO,NO,NO,NO,nessuno,SI,SI,SI,SI,ACCESSO PARZIALE,A PAGAMENTO,,6,5,,4,3,NO,SI,NO,l'ingresso al Museo è gratuito per i residenti del comune di Alzano Lombardo e per gli studenti degli istituti scolasctici in Alzano Lombardo,2019,3126,963,,284,1879,,(2019:3126)|(2018:4324)|(2017:4564)|(2016:4327)|(2015:6066),NO,NO,NO,NO,SI,NO,NO,la Biblioteca è in fase di organizzazione.,NO,NO,NO,NO,,9.7304172,45.733634,"(45.733634, 9.7304172)"
1901,1962,BG,CASAZZA,MUSEO DELLA VAL CAVALLINA,Museo della Val Cavallina,"Via Nazionale, 67",,24060,035 810640,035 811536,info@museocavellas.it,http://www.museocavellas.it,,,Raccolta Museale,Territoriale,ASSOCIAZIONE RICONOSCIUTA,SI,,,"Apertura il mercoledì dalle 9 alle 12,30 e il sabato e domenica dalle 15,00 alle 18,30","mercoledì dalle 9 alle 12,30,sabato e domenica dalle 15,00 alle 18,30
altri orari su prenotazione",,,SI,SI,NO,NO,SI,NO,NO,NO,,NO,NO,SI,NO,,SI,SI,SI,SI,ACCESSO TOTALE,GRATUITO,,,,,,,NO,NO,NO,"Dal 2017 gli orari di apertura sono i seguenti:
SABATO dalle 15,00 alle 18,00
DOMENICA dalle 10,00 alle 12,30 e dalle 15,00 alle 18,00",2019,2785,645,,,2140,Il numero dei visitatori in gruppo organizzato comprende sia gruppi scolastici sia gruppi organizzati,(2019:2785)|(2018:2630)|(2017:2540)|(2016:2130)|(2015:2550),NO,SI,SI,SI,SI,NO,NO,Accesso informatizzato alla banca dati di immagini e dati del Museo.,SI,SI,NO,SI,"Informazioni, riferimenti,consultazioni,notizie su eventi organizzati e da organizzare...",9.9086234,45.7504991,"(45.7504991, 9.9086234)"
2001,2082,BG,ALMENNO SAN BARTOLOMEO,MUSEO DEL FALEGNAME TINO SANA,Museo del Falegname Tino Sana Onlus,"Via Papa Giovanni XXIII, 55",,24030,035 554411,035 554407,museo@tinosana.com,http://www.museotinosana.it,,,Raccolta Museale,Etnografica e Antropologica,ENTE DI DIRITTO PRIVATO,SI,,,,"Dal lunedì al venerdì dalle 9,00 alle 12,00
sabato dalle 15,00 alle 18,00
domenica dalle 9,30 alle 12,00 e dalle 15,00 alle 18,00
Disponibilità di visita anche in altri orari previa prenotazione.",,,SI,SI,SI,NO,SI,SI,SI,NO,,NO,SI,SI,NO,,SI,SI,SI,NO,ACCESSO TOTALE,A PAGAMENTO,in base a manifestazioni particolari.,8,4,4,4,,NO,NO,NO,"Altro: l'ingresso è gratuito per disabili, portatori di handicap e in occasione di particolari eventi.",2019,8300,,,2000,,,(2019:8300)|(2018:7800)|(2017:7432)|(2016:6600)|(2015:6000),NO,SI,SI,SI,NO,SI,NO,,SI,SI,NO,NO,,9.5953609,45.7023468,"(45.7023468, 9.5953609)"
2042,2102,BG,SCHILPARIO,MUSEO ETNOGRAFICO,Museo Etnografico,Via dei Goi,,24020,034655393,034655275,info@comune.schilpario.bg.it,http://www.cmscalve.bg.it,,,Museo,Etnografica e Antropologica,ENTE LOCALE E SUE FORME ASSOCIATIVE E CONSORTILI,SI,,,,"9:00 - 12:00
15:00 - 18:00",lunedì,,SI,SI,SI,NO,NO,NO,NO,NO,,NO,NO,NO,NO,,SI,SI,SI,SI,ACCESSO TOTALE,A PAGAMENTO,,5,3,3,3,1.5,NO,NO,NO,Ingresso libero per gruppi superiori a 10 membri,2019,3348,1954,2228,918,476,,(2019:3348)|(2018:4000)|(2017:4050)|(2016:4000)|(2015:3500),NO,SI,SI,SI,SI,SI,NO,,NO,NO,NO,NO,,10.1580278,46.0086739,"(46.0086739, 10.1580278)"
2065,2382,BG,URGNANO,MUSEO E VILLAGGIO AFRICANO,MUSEO E VILLAGGIO AFRICANO,VIA G. B. PERUZZO 2,BASELLA,24059,035-894670,035-5096977,info@museoafricano.it,http://www.museoafricano.it,,,Museo,Etnografica e Antropologica,ENTE DI DIRITTO PRIVATO,SI,,,"da lunedi a venerdi 9.00-17.00
sabato chiuso
domenica 15.00-18.00","da lunedi a venerdi 9.00-16.00
sabato chiuso
domenica 15.00-18.00",SABATO,,SI,NO,SI,NO,SI,SI,SI,NO,,NO,NO,NO,NO,"Come detto sopra, laboratorio per attività di manipolazione all'interno di percorsi didattici per le scuole.",SI,SI,SI,SI,ACCESSO TOTALE,A PAGAMENTO,,2,0,1,8,7,NO,SI,NO,"Gli importi indicati sono quelli minimi praticati durante la bassa stagione (settembre-febbraio)dell'a.s. 2016/17
Con Altro si intendono i Centri Estivi.
Per questi ultimi e per le scuole l'ingresso al museo comprende anche dei laboratori interattivi.",2019,12343,121,137,8043,4042,Gruppo organizzato= Centri estivi e cooperative dsa,(2019:12343)|(2018:12343)|(2017:9197)|(2016:11002)|(2015:11442),NO,SI,SI,NO,NO,SI,SI,,SI,SI,NO,NO,,9.7260821,45.613753,"(45.613753, 9.7260821)"
1982,3848,BG,TREVIGLIO,MUSEO CIVICO ERNESTO  E TERESA DELLA TORRE,Museo Archeologico Giuseppe Oggionni,"vicolo Bicetti de Buttinoni, 11",,,,,trevigliomusei@comune.treviglio.bg.it,http://comune.treviglio.bg.it,,,Raccolta Museale,Composito,ENTE LOCALE E SUE FORME ASSOCIATIVE E CONSORTILI,SI,,,,"martedì e sabato 14.30-18.00
terza domenica del mese 15.00-18.00
In altri giorni e orari su richiesta",,gli orari potrebbero variare a causa del riallestimento in corso,SI,SI,NO,NO,SI,NO,NO,SI,,NO,NO,NO,NO,,SI,SI,SI,SI,ACCESSO TOTALE,GRATUITO,,,,,,,NO,NO,NO,"La gratuità si riferisce a tre delle sedi del Museo Civico. Nella sede denominata Museo Storico Verticale è previsto un biglietto d'ingresso di €5.00 intero, €4.00 under 18, gratuito per i under 6 e €7.00 adulto + ragazzo.",2019,19718,5348,3169,13691,679,dati reali tranne over 60 e under 18 che sono stimati,(2019:19718)|(2018:14864)|(2017:14743)|(2016:5836)|(2015:5000),NO,SI,SI,SI,SI,NO,NO,,NO,NO,NO,NO,,9.58833219,45.51966949,"(45.51966949, 9.58833219)"
62,226,BS,BRESCIA,MUSEO CIVICO DI SCIENZE NATURALI,Museo Civico di Scienze Naturali,"Via Ozanam, 4",,25128,030 2978672,030 2978597,museo.scienze@comune.brescia.it,http://www.comune.brescia.it,,Per lavori sull’edificio l'esposizione permanente del Museo è attualmente (2020) chiusa al pubblico.,Raccolta Museale,Storia Naturale e scienze naturali,COMUNE,NO,a tempo determinato,Restauro Sede,,"Dal lunedì al sabato dalle ore 9:00 alle 13:45 o dalle ore 14:00 alle 19:00. Domenica chiuso.
In fascia serale dal lunedì al venerdì dalle ore 20:00 alle 23:30 è aperto auditorium e sala conferenze.","Domenica
Apertura domenicale per eventi particolari",,SI,SI,NO,SI,SI,NO,NO,NO,Guardaroba disponibile per le scolaresche,NO,NO,SI,NO,,SI,SI,SI,SI,ACCESSO PARZIALE,GRATUITO,,,,,,,NO,NO,NO,,2019,6464,2988,,2786,690,,(2019:6464)|(2018:18128)|(2017:17797)|(2016:19476)|(2015:11600),NO,SI,SI,NO,NO,SI,SI,"Specola Astronomica Cidnea
Biblioteca condivisa con il Servizio Biblioteche del Settore Cultura",SI,NO,NO,SI,"Sul sito del Museo è possibile visionare gli orari di apertura del Museo e il calendario delle attività, scaricare gratutitamente schede didattiche e tutti gli articoli pubblicati nei periodici scientifici editi dal Museo stesso.",10.2274249,45.5531906,"(45.5531906, 10.2274249)"
502,662,BS,GAVARDO,MUSEO ARCHEOLOGICO DELLA VALLE SABBIA,Museo archeologico della Valle Sabbia,"Piazzetta San Bernardino, 5",,25085,0365 371474,0365377417,info@museoarcheologicogavardo.it,http://museoarcheologicogavardo.it,,,Museo,Archeologia,COMUNE,SI,,,,"dal lunedì al mercoledì dalle ore 9.00 alle ore 13.00 
il giovedì dalle 9.00 alle 13.00 e dalle 14.00 alle 17.00
venerdì dalle 9.00 alle 13.00 e dalle 20.30 alle 21.30.
domenica dalle 14,30 alle 18,30

orario estivo:
dal lunedì al mercoledì dalle ore 9.00 alle ore 13.00 
il giovedì dalle 9.00 alle 13.00 e dalle 16.00 alle 19.00
venerdì dalle 9.00 alle 13.00 e dalle 20.30 alle 21.30.
domenica dalle 14,30 alle 18,30",sabato,,SI,SI,SI,NO,NO,NO,NO,NO,,NO,NO,NO,SI,"Su finanziamento europeo è stato acquistato un stereoscopio trioculare a luce riflessa con innesto per macchina digitale per avviare uno studio sulle tracce di usura dei supporti litici di epoca preistorica, in collaborazione con l'università di Roma.",SI,SI,SI,SI,ACCESSO PARZIALE,A PAGAMENTO,venerdì sera,4,2,70,,,NO,SI,SI,"Per alcune iniziative didattiche (del tipo un mercoledì da museo) si prevedono forme di abbonamento. Per alcune categorie di utenti è previsto l'ingresso gratuito. Per i gruppi si intende il costo della visita guidata. Per le scuole sono presenti numerose tipologie di offerte: per gruppi classe di max 25 alunni € 70,00 percorso didattico con fascicolo: € 70,00 Laboratorio didattico; € 80,00 percorso + minilaboratorio; € 120,00 Percorso + laboratorio; € 135 giornata intera da concordare.",2019,4805,2903,834,1540,362,"La rilevazione della classe di età è parziale e non tiene conto dei visitatori di eventi, mostre, inaugurazioni e domeniche (quando l'ingresso è gratuito o a tariffa speciale)",(2019:4805)|(2018:4898)|(2017:4829)|(2016:4520)|(2015:4600),NO,SI,SI,SI,NO,SI,NO,I depositi sono visitabili solo su appuntamento.,NO,NO,NO,NO,,10.4389872,45.5847605,"(45.5847605, 10.4389872)"
