ZEIT,RAUM,MERKMAL,WERT
2014,"M�nster, Gesamtstadt",Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1,"6,85"
2015,"M�nster, Gesamtstadt",Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1,"6,82"
2016,"M�nster, Gesamtstadt",Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1,"7,11"
2017,"M�nster, Gesamtstadt",Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1,"6,99"
2018,"M�nster, Gesamtstadt",Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1,"6,66"
2019,"M�nster, Gesamtstadt",Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1,"6,33"
2014,"M�nster, Gesamtstadt",Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2,"15,81"
2015,"M�nster, Gesamtstadt",Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2,"15,44"
2016,"M�nster, Gesamtstadt",Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2,"16,31"
2017,"M�nster, Gesamtstadt",Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2,"16,4"
2018,"M�nster, Gesamtstadt",Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2,"15,32"
2019,"M�nster, Gesamtstadt",Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2,"14,76"
2014,"M�nster, Gesamtstadt",Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3,"35,4"
2015,"M�nster, Gesamtstadt",Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3,"37,56"
2016,"M�nster, Gesamtstadt",Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3,"38,42"
2017,"M�nster, Gesamtstadt",Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3,"39,14"
2018,"M�nster, Gesamtstadt",Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3,"38,7"
2019,"M�nster, Gesamtstadt",Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3,"39,16"
2014,"M�nster, Gesamtstadt",Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1,"18,85"
2015,"M�nster, Gesamtstadt",Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1,"18,68"
2016,"M�nster, Gesamtstadt",Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1,"18,28"
2017,"M�nster, Gesamtstadt",Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1,"17,84"
2018,"M�nster, Gesamtstadt",Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1,"17,91"
2019,"M�nster, Gesamtstadt",Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1,"18,21"
2014,"M�nster, Gesamtstadt",Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bev�lkerung im Alter von 15 - 64 Jahren - Kontextindikator 2,"4,21"
2015,"M�nster, Gesamtstadt",Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bev�lkerung im Alter von 15 - 64 Jahren - Kontextindikator 2,"4,17"
2016,"M�nster, Gesamtstadt",Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bev�lkerung im Alter von 15 - 64 Jahren - Kontextindikator 2,"4,11"
2017,"M�nster, Gesamtstadt",Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bev�lkerung im Alter von 15 - 64 Jahren - Kontextindikator 2,"3,8"
2018,"M�nster, Gesamtstadt",Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bev�lkerung im Alter von 15 - 64 Jahren - Kontextindikator 2,"3,52"
2019,"M�nster, Gesamtstadt",Anteil der Arbeitslosen(SGB II UND SGB III) an der Wohnberechtigten Bev�lkerung im Alter von 15 - 64 Jahren - Kontextindikator 2,"3,45"
2014,"M�nster, Gesamtstadt",Anteil der m�nnlichen SGBII-Personen im Alter von 15 - 64 Jahren an den m�nnlichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1,"6,94"
2015,"M�nster, Gesamtstadt",Anteil der m�nnlichen SGBII-Personen im Alter von 15 - 64 Jahren an den m�nnlichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1,"6,97"
2016,"M�nster, Gesamtstadt",Anteil der m�nnlichen SGBII-Personen im Alter von 15 - 64 Jahren an den m�nnlichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1,"7,35"
2017,"M�nster, Gesamtstadt",Anteil der m�nnlichen SGBII-Personen im Alter von 15 - 64 Jahren an den m�nnlichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1,"7,23"
