Bureau de l'ASFC,Emplacement,Mise à jour,Débit / Expéditions commerciales,Débit / Voyageurs
Abbotsford-Huntingdon,"Huntingdon, BC",2015-03-31 20:47 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-03-31 21:46 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-03-31 22:46 PDT,Aucun délai,20
Abbotsford-Huntingdon,"Huntingdon, BC",2015-03-31 23:47 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 00:54 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 02:03 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 03:09 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 03:49 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 04:53 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 07:35 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 09:04 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 10:01 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 10:46 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 11:53 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 12:45 PDT,Aucun délai,30
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 13:49 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 14:57 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 15:56 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 15:56 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 15:56 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 16:51 PDT,Aucun délai,20
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 17:48 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 18:48 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 20:48 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 20:48 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 22:46 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 22:47 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-01 23:48 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 00:46 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 01:47 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 02:47 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 03:47 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 04:59 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 05:51 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 08:35 PDT,Entrée manquante,Entrée manquante
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 09:07 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 10:05 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 12:05 PDT,Entrée manquante,Entrée manquante
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 12:05 PDT,Aucun délai,15
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 14:06 PDT,Entrée manquante,Entrée manquante
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 14:06 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 14:55 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 18:48 PDT,Entrée manquante,Entrée manquante
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 18:48 PDT,Entrée manquante,Entrée manquante
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 18:48 PDT,Entrée manquante,Entrée manquante
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 18:48 PDT,Entrée manquante,Entrée manquante
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 18:59 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 19:55 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 20:56 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 21:58 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 22:56 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-02 23:57 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 00:57 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 03:57 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 04:57 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 05:52 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 08:18 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 08:18 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 08:19 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 08:19 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 08:59 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 09:56 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 10:51 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 11:49 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 12:58 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 13:50 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 14:50 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 16:52 PDT,Entrée manquante,Entrée manquante
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 16:52 PDT,Aucun délai,25
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 17:52 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 18:49 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 19:45 PDT,Aucun délai,20
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 20:48 PDT,Aucun délai,15
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 21:47 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 22:47 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-03 23:47 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 00:47 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 01:48 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 02:48 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 03:48 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 04:48 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 05:48 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 06:49 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 07:48 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 08:58 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 10:11 PDT,Aucun délai,20
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 10:57 PDT,Aucun délai,45
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 11:45 PDT,Aucun délai,55
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 13:06 PDT,Aucun délai,45
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 13:49 PDT,Aucun délai,40
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 15:02 PDT,Aucun délai,30
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 15:51 PDT,Aucun délai,50
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 17:01 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 17:50 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 18:51 PDT,Aucun délai,25
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 19:51 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 21:00 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 21:51 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 22:47 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-04 23:49 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-05 00:50 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-05 01:50 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-05 02:50 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-05 03:49 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-05 06:58 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-05 08:02 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-05 08:02 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-05 08:02 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-05 08:49 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-05 09:48 PDT,Aucun délai,15
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-05 10:48 PDT,Aucun délai,15
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-05 11:49 PDT,Aucun délai,50
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-05 12:58 PDT,Aucun délai,40
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-05 13:50 PDT,Aucun délai,40
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-05 14:45 PDT,Aucun délai,40
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-05 15:48 PDT,Aucun délai,40
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-05 16:48 PDT,Aucun délai,40
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-05 17:48 PDT,Aucun délai,50
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-05 18:49 PDT,Aucun délai,20
