Transaction Reference Number,Posting Date,Merchant Name,Final Transaction Amount,Description
1445387699,01/04/2011,IKON CAPITAL PLC,569.89,Rental and copy charges for photocopier
1445387718,01/04/2011,DOD`S PARLIAMENTARY CO,576,Training course
1445387704,01/04/2011,LANODE LTD,587.9,Press to talk handsets for VoIP phones
1445387692,01/04/2011,JONES YARRELL LEADENHALL,639.58,Monthly newspaper & magazine subscriptions
1445387717,01/04/2011,QUADRILECT LTD,"1,872.00",Training course
1445387715,01/04/2011,COI,"2,628.00",Audit of the Privy Council Office website
1445387716,01/04/2011,PITMAN TRAINING CENTRE,"3,150.00",Training course
1446657642,04/04/2011,GOVERNMENT CAR AND DESPATCH AGENCY,511.12,Ministerial Cars � Oct 2010
1446657697,04/04/2011,STATIONERY OFFICE BOOK,540,Statutory Instrument Template Training
1446657706,04/04/2011,DOD`S PARLIAMENTARY CO,576,Training course
1446657708,04/04/2011,DOD`S PARLIAMENTARY CO,576,Training course
1446657632,04/04/2011,WWW.PAYCOLT.COM,599.99,Monthly subscription for annunciator
1446657675,04/04/2011,LCRL PUBLISHING,605,Updates for legal titles in library
1446657670,04/04/2011,WWW.PAYCOLT.COM,636.45,Monthly subscription for annunciator
1446657641,04/04/2011,GOVERNMENT CAR AND DESPATCH AGENCY,652.13,Ministerial cars� October 2010
1446657786,04/04/2011,OFFICE DEPOT,652.22,Stationery Purchases
1446657666,04/04/2011,STATIONERY OFFICE BOOK,900.84,"Copies of Parliamentary Business/Order papers, Bills and Amendments  "
1446657638,04/04/2011,GOVERNMENT CAR AND DESPATCH AGENCY,"1,075.13",Ministerial Cars � September and October 2010
1446657664,04/04/2011,STATIONERY OFFICE BOOK,"1,299.24","Copies of Parliamentary Business/Order papers, Bills and Amendments  "
1446657635,04/04/2011,GOVERNMENT CAR AND DESPATCH AGENCY,"1,568.63",Ministerial cars � November 2010
1448205602,05/04/2011,"PROBRAND LTD.,",501.85,IT supplies
1448205701,05/04/2011,WWW.ZEN.CO.UK,510.48,Telecoms Purchases
1448205600,05/04/2011,"PROBRAND LTD.,",557.04,IT supplies
1448205598,05/04/2011,"PROBRAND LTD.,",595.9,IT supplies
1448205596,05/04/2011,"PROBRAND LTD.,",682.85,IT supplies
1448205594,05/04/2011,"PROBRAND LTD.,",933.47,IT supplies
1448205585,05/04/2011,"PROBRAND LTD.,","1,427.04",IT supplies
1448987312,06/04/2011,GOVERNMENT CAR AND DESPATCH AGENCY,587.82,Journeys for Permanent Secretary - Sir Jon Cunliffe
1448987309,06/04/2011,GOVERNMENT CAR AND DESPATCH AGENCY,598.34,Journeys for Permanent Secretary - Sir Jon Cunliffe
1448987358,06/04/2011,JONES YARRELL LEADENHALL,684.84,Monthly newspaper & magazine subscriptions
1448987301,06/04/2011,AMAZON WEB SERVICES,"1,010.65",Hosting charges for data.gov.uk
1449885583,07/04/2011,STATIONERY OFFICE BOOK,695.11,"Copies of Parliamentary Business/Order papers, Bills and Amendments  "
1449885592,07/04/2011,PCS BUSINESS SYSTEMS,"1,488.00",ICT Consumables
1450886241,08/04/2011,BRITISH A 12526021602360,560,Baggage Charges
1450886148,08/04/2011,OFFICE DEPOT,"1,412.40",Printing paper
1452230106,11/04/2011,OFFICE DEPOT,"1,284.00",Printing paper
1452230144,11/04/2011,OFFICE DEPOT,"1,284.00",Printing paper
1452230101,11/04/2011,OFFICE DEPOT,"1,540.80",Printing paper
1453853356,12/04/2011,ARKADIN (UK) LTD,538.64,Use of Telephone Conferencing services 
1453853352,12/04/2011,"PROBRAND LTD.,",668.4,IT supplies
1454599088,13/04/2011,ADVANCE SEATING,599.99,Specialist chair for member of staff following a workstation assessment
1454599063,13/04/2011,COI,"1,895.07",Event costs
1454599100,13/04/2011,MISCO,"2,349.94",ICT Consumables
1455548897,14/04/2011,LANODE LTD,578.4,X21 interface converters for WAN Network
1455548959,14/04/2011,SIMPLYELECTRONIC,599.9,ICT Consumables
1455548905,14/04/2011,ECOVERT,653.27,Facilities management services
1455548904,14/04/2011,ECOVERT,653.27,Facilities management services
1455548882,14/04/2011,OFFICE DEPOT,"1,660.57",Printing paper
1455548914,14/04/2011,OFFICE DEPOT,"1,715.04",Printing paper
