machine,cash_count,cash_amount,credit_count,credit_amount,total_count,total_revenue,date
CGG_AP21-AU,318,651.75,53,197.4,371,849.15,20141201
CGG_BC13-AU,87,446.75,72,426.6,159,873.35,20141201
CGG_BC14-AU,118,571.1,130,772.6,248,1343.7,20141201
CGG_BC21-AU,287,1089.9,196,2134.95,483,3224.85,20141201
CGG_BC41-AU,298,1172.15,163,949.85,461,2122.0,20141201
CGG_BC42-AU,104,462.8,67,383.5,171,846.3,20141201
CGG_BC43-AU,281,1038.55,263,1520.2,544,2558.75,20141201
CGG_BR14-AU,81,256.15,13,54.35,94,310.5,20141201
CGG_BR15-AU,179,496.25,78,332.45,257,828.7,20141201
CGG_BR16-AU,229,482.8,30,121.25,259,604.05,20141201
CGG_BR22-AU,521,1308.6,109,389.8,630,1698.4,20141201
CGG_BR23-AU,615,1755.75,227,1198.45,842,2954.2,20141201
CGG_BR26-AU,762,1839.55,127,448.6,889,2288.15,20141201
CGG_BR31-AU,1005,2690.45,165,774.9,1170,3465.35,20141201
CGG_BR32-AU,890,2140.05,77,278.05,967,2418.1,20141201
CGG_BR33-AU,309,835.25,35,169.35,344,1004.6,20141201
CGG_BR34-AU,1402,3149.55,125,400.45,1527,3550.0,20141201
CGG_BR35-AU,1156,3179.05,155,690.4,1311,3869.45,20141201
CGG_BR41-AU,177,740.05,114,663.95,291,1404.0,20141201
CGG_BR42-AU,703,2014.7,150,649.95,853,2664.65,20141201
CGG_BR43-AU,132,560.6,94,552.5,226,1113.1,20141201
CGG_BR44-AU,368,1117.05,72,293.75,440,1410.8,20141201
CGG_BR45-AU,150,663.4,136,787.05,286,1450.45,20141201
CGG_BS11-AU,209,994.85,169,1002.75,378,1997.6,20141201
CGG_BS12-AU,528,1669.75,116,538.0,644,2207.75,20141201
CGG_BS13-AU,138,703.4,152,883.55,290,1586.95,20141201
CGG_BS16-AU,131,526.5,130,755.75,261,1282.25,20141201
CGG_BS17-AU,597,1936.9,103,819.2,700,2756.1,20141201
CGG_BS18-AU,578,1672.4,128,600.35,706,2272.75,20141201
CGG_BS21-AU,1430,3318.95,122,442.35,1552,3761.3,20141201
CGG_BS22-AU,971,2076.1,60,196.75,1031,2272.85,20141201
CGG_BS23-AU,982,2263.75,77,247.45,1059,2511.2,20141201
CGG_BS24-AU,1170,2393.85,101,296.65,1271,2690.5,20141201
CGG_BS25-AU,1242,2922.95,144,510.45,1386,3433.4,20141201
CGG_BS26-AU,1848,4261.5,178,582.25,2026,4843.75,20141201
CGG_BS27-AU,1990,5246.7,176,638.5,2166,5885.2,20141201
CGG_BS29-AU,819,2361.85,102,412.45,921,2774.3,20141201
